pokemonID,name,text,type
sm12-62,Scatter,"At the end of your opponent's turn, if this Pokémon has any damage counters on it, flip a coin. If tails, shuffle this Pokémon and all cards attached to it into your deck.",Ability,sm12-62
sm12-69,Call Signal,"Once during your turn (before your attack), you may search your deck for up to 3 Supporter cards, reveal them, and put them into your hand. Then, shuffle your deck. If you searched your deck in this way, this Pokémon is Knocked Out.",Ability,sm12-69
sm12-70,Speed Cheer,The attacks of your Pokémon-GX in play that evolve from Eevee cost Colorless less. You can't apply more than 1 Speed Cheer Ability at a time.,Ability,sm12-70
sm12-72,Blinking Lights,"As often as you like during your turn (before your attack), you may look at the top card of your opponent's deck.",Ability,sm12-72
sm12-76,Blow-Away Bomb,"Once during your turn, when you discard this Pokémon with the effect of Roxie, you may put 1 damage counter on each of your opponent's Pokémon. (Place damage counters after the effect of Roxie.)",Ability,sm12-76
sm12-77,Blow-Away Bomb,"Once during your turn, when you discard this Pokémon with the effect of Roxie, you may put 1 damage counter on each of your opponent's Pokémon. (Place damage counters after the effect of Roxie.)",Ability,sm12-77
sm12-82,Double Type,"As long as this Pokémon is in play, it is Psychic and Fighting type.",Ability,sm12-82
sm12-83,Spiritborne Evolution,"Once during your turn (before your attack), you may discard 3 cards from your hand. If you do, search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.",Ability,sm12-83
sm12-85,Grim Marking,"If this Pokémon is your Active Pokémon and is Knocked Out by damage from an opponent's attack, put 4 damage counters on your opponent's Pokémon in any way you like.",Ability,sm12-85
sm12-95,Dance of Tribute,"Once during your turn (before your attack), if any of your Pokémon were Knocked Out during your opponent's last turn, you may draw 3 cards. You can't use more than 1 Dance of Tribute Ability each turn.",Ability,sm12-95
sm12-97,Shadow Box,Pokémon-GX that have any damage counters on them (both yours and your opponent's) have no Abilities.,Ability,sm12-97
sm12-100,Unaware,"Prevent all effects of your opponent's attacks, except damage, done to this Pokémon.",Ability,sm12-100
sm12-102,Blessing of the Moone,"Once during your turn (before your attack), if you have Solgaleo in play, you may search your deck for up to 2 Energy cards and attach them to your Solgaleo or Lunala in any way you like. Then, shuffle your deck.",Ability,sm12-102
sm12-109,Obnoxious Whirring,"Whenever your opponent plays a Supporter card from their hand, prevent all effects of that card done to this Pokémon.",Ability,sm12-109
sm12-110,Dusty Defense,"As long as this Pokémon is your Active Pokémon, all of your Pokémon take 30 less damage from your opponent's attacks (after applying Weakness and Resistance).",Ability,sm12-110
sm12-117,Bulldoze,"Once during your turn (before your attack), you may search your deck for a card, shuffle your deck, then put that card on top of it.",Ability,sm12-117
sm12-122,Solid Shell,This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,Ability,sm12-122
sm12-124,Boiling Blood,"If your opponent has any Pokémon-GX or Pokémon-EX in play, this Pokémon's attacks cost ColorlessColorlessColorless less.",Ability,sm12-124
sm12-129,Smug Face,"Prevent all effects of attacks, including damage, done to this Pokémon by your opponent's TAG TEAM Pokémon and Ultra Beasts, and by your opponent's Pokémon that have any Special Energy attached to them.",Ability,sm12-129
sm12-142,Armor of the Sunne,"If you have Lunala in play, your Solgaleo and Lunala take 50 less damage from your opponent's attacks (after applying Weakness and Resistance). You can't apply more than 1 Armor of the Sunne Ability at a time.",Ability,sm12-142
sm12-146,Growing Up,"Once during your turn (before your attack), you may flip a coin. If heads, attach a basic Energy card from your discard pile to your Active Pokémon. If you use this Ability, your turn ends.",Ability,sm12-146
sm12-151,Flower Picking,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may choose 2 random cards from your opponent's hand. Your opponent reveals those cards and shuffles them into their deck.",Ability,sm12-151
sm12-152,Flower Picking,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may choose 2 random cards from your opponent's hand. Your opponent reveals those cards and shuffles them into their deck.",Ability,sm12-152
sm12-158,Violent Appetite,"Once during your turn (before your attack), you may discard a Pokémon from your hand. If you do, heal 60 damage from this Pokémon.",Ability,sm12-158
sm12-162,Fighter's Roar,"If your opponent's Active Pokémon is a Pokémon-GX or Pokémon-EX, this Pokémon can evolve during the turn you play it.",Ability,sm12-162
sm12-164,Ultra Burst,This Pokémon can't attack unless your opponent has 2 or fewer Prize cards remaining.,Ability,sm12-164
sm12-168,Sleepy Voice,"Once during your turn (before your attack), you may flip a coin. If heads, your opponent's Active Pokémon is now Asleep. If you use this Ability, your turn ends.",Ability,sm12-168
sm12-169,Scampering Tail,"Once during your turn (before your attack), you may put the top card of your opponent's deck on the bottom of their deck without looking at it.",Ability,sm12-169
sm12-176,Arf Arf Bark,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard an Energy from your opponent's Active Pokémon. If this Pokémon is your Active Pokémon and is Knocked Out by damage from an opponent's attack, you may discard an Energy from your opponent's Active Pokémon.",Ability,sm12-176
sm12-182,Carry and Run,"As long as this Pokémon is on your Bench, your Active Pokémon's Retreat Cost is ColorlessColorless less.",Ability,sm12-182
sm12-184,Disk Reload,"Once during your turn (before your attack), you may draw cards until you have 5 cards in your hand.",Ability,sm12-184
sm12-210,Shining Vine,"Once during your turn, if this Pokémon is your Active Pokémon, when you attach a Grass Energy card from your hand to it, you may switch 1 of your opponent's Benched Pokémon with their Active Pokémon.",Ability,sm12-210
sm12-211,Fragrant Flower Garden,"Once during your turn (before your attack), you may heal 30 damage from each of your Pokémon.",Ability,sm12-211
sm12-213,Flaming Shot,"Once during your turn (before your attack), you may discard a Fire Energy card from your hand. If you do, put 2 damage counters on 1 of your opponent's Pokémon.",Ability,sm12-213
sm12-217,Dance of Tribute,"Once during your turn (before your attack), if any of your Pokémon were Knocked Out during your opponent's last turn, you may draw 3 cards. You can't use more than 1 Dance of Tribute Ability each turn.",Ability,sm12-217
sm12-218,Dusty Defense,"As long as this Pokémon is your Active Pokémon, all of your Pokémon take 30 less damage from your opponent's attacks (after applying Weakness and Resistance).",Ability,sm12-218
sm12-219,Smug Face,"Prevent all effects of attacks, including damage, done to this Pokémon by your opponent's TAG TEAM Pokémon and Ultra Beasts, and by your opponent's Pokémon that have any Special Energy attached to them.",Ability,sm12-219
sm12-223,Violent Appetite,"Once during your turn (before your attack), you may discard a Pokémon from your hand. If you do, heal 60 damage from this Pokémon.",Ability,sm12-223
sm12-224,Violent Appetite,"Once during your turn (before your attack), you may discard a Pokémon from your hand. If you do, heal 60 damage from this Pokémon.",Ability,sm12-224
sm12-227,Disk Reload,"Once during your turn (before your attack), you may draw cards until you have 5 cards in your hand.",Ability,sm12-227
sm12-240,Scatter,"At the end of your opponent's turn, if this Pokémon has any damage counters on it, flip a coin. If tails, shuffle this Pokémon and all cards attached to it into your deck.",Ability,sm12-240
sm12-243,Blow-Away Bomb,"Once during your turn, when you discard this Pokémon with the effect of Roxie, you may put 1 damage counter on each of your opponent's Pokémon. (Place damage counters after the effect of Roxie.)",Ability,sm12-243
sm12-244,Double Type,"As long as this Pokémon is in play, it is Psychic and Fighting type.",Ability,sm12-244
sm12-248,Arf Arf Bark,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard an Energy from your opponent's Active Pokémon. If this Pokémon is your Active Pokémon and is Knocked Out by damage from an opponent's attack, you may discard an Energy from your opponent's Active Pokémon.",Ability,sm12-248
sm12-249,Shining Vine,"Once during your turn, if this Pokémon is your Active Pokémon, when you attach a Grass Energy card from your hand to it, you may switch 1 of your opponent's Benched Pokémon with their Active Pokémon.",Ability,sm12-249
sm12-250,Fragrant Flower Garden,"Once during your turn (before your attack), you may heal 30 damage from each of your Pokémon.",Ability,sm12-250
sm12-252,Flaming Shot,"Once during your turn (before your attack), you may discard a Fire Energy card from your hand. If you do, put 2 damage counters on 1 of your opponent's Pokémon.",Ability,sm12-252
sm12-255,Dance of Tribute,"Once during your turn (before your attack), if any of your Pokémon were Knocked Out during your opponent's last turn, you may draw 3 cards. You can't use more than 1 Dance of Tribute Ability each turn.",Ability,sm12-255
sm12-256,Dusty Defense,"As long as this Pokémon is your Active Pokémon, all of your Pokémon take 30 less damage from your opponent's attacks (after applying Weakness and Resistance).",Ability,sm12-256
sm12-257,Smug Face,"Prevent all effects of attacks, including damage, done to this Pokémon by your opponent's TAG TEAM Pokémon and Ultra Beasts, and by your opponent's Pokémon that have any Special Energy attached to them.",Ability,sm12-257
sm12-260,Violent Appetite,"Once during your turn (before your attack), you may discard a Pokémon from your hand. If you do, heal 60 damage from this Pokémon.",Ability,sm12-260
sm12-262,Disk Reload,"Once during your turn (before your attack), you may draw cards until you have 5 cards in your hand.",Ability,sm12-262
sm2-9,Armor,This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,Ability,sm2-9
sm2-10,Victory Star,"Once during your turn, after you flip any coins for an attack, you may ignore all results of those coin flips and begin flipping those coins again. You can't use more than 1 Victory Star Ability each turn.",Ability,sm2-10
sm2-13,Shady Move,"Once during your turn (before your attack), you may move 1 damage counter from 1 Pokémon to another Pokémon.",Ability,sm2-13
sm2-16,Hot Poison,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may leave your opponent's Active Pokémon Burned and Poisoned.",Ability,sm2-16
sm2-20,Slush Rush,"Once during your turn (before your attack), you may draw a card.",Ability,sm2-20
sm2-37,Schooling,"Once during your turn (before your attack), you may switch this Pokémon with a Wishiwashi-GX in your hand. Any attached cards, damage counters, Special Conditions, turns in play, and any other effects remain on the new Pokémon.",Ability,sm2-37
sm2-47,Aero Trail,"When you play this Pokémon from your hand onto your Bench during your turn, you may move any number of Lightning Energy from your other Pokémon to this Pokémon. If you do, switch this Pokémon with your Active Pokémon.",Ability,sm2-47
sm2-55,Vital Dance,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for up to 2 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",Ability,sm2-55
sm2-59,Steelworker,Your Metal Pokémon's attacks do 10 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).,Ability,sm2-59
sm2-60,Wonder Tag,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.",Ability,sm2-60
sm2-60a,Wonder Tag,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.",Ability,sm2-60a
sm2-64,Daunting Pose,Prevent all damage done to your Benched Pokémon by your opponent's attacks. Your opponent's attacks and Abilities can't put damage counters on your Benched Pokémon.,Ability,sm2-64
sm2-66,Roadblock,"Your opponent can't have more than 4 Benched Pokémon. If they have 5 or more Benched Pokémon, they discard Benched Pokémon until they have 4 Pokémon on the Bench. If more than one effect changes the number of Benched Pokémon allowed, use the smaller number.",Ability,sm2-66
sm2-74,Bloodthirsty Eyes,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may switch 1 of your opponent's Benched Pokémon with their Active Pokémon.",Ability,sm2-74
sm2-85,Geotech System,"Once during your turn (before your attack), you may attach a Psychic or Metal Energy card from your discard pile to your Active Pokémon.",Ability,sm2-85
sm2-93,Flower Shield,Each of your Pokémon that has any Fairy Energy attached to it can't be affected by any Special Conditions. Remove any Special Conditions affecting those Pokémon.,Ability,sm2-93
sm2-98,Bulletproof,This Pokémon takes 10 less damage from attacks (after applying Weakness and Resistance).,Ability,sm2-98
sm2-102,Fresh Egg,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may heal 80 damage from your Active Pokémon.",Ability,sm2-102
sm2-113,Rake It In,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may draw 3 cards.",Ability,sm2-113
sm2-114,Comatose,"As long as this Pokémon is your Active Pokémon, whenever you attach an Energy from your hand to it, it is now Asleep.",Ability,sm2-114
sm2-135,Aero Trail,"When you play this Pokémon from your hand onto your Bench during your turn, you may move any number of Lightning Energy from your other Pokémon to this Pokémon. If you do, switch this Pokémon with your Active Pokémon.",Ability,sm2-135
sm2-137,Wonder Tag,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.",Ability,sm2-137
sm2-138,Bloodthirsty Eyes,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may switch 1 of your opponent's Benched Pokémon with their Active Pokémon.",Ability,sm2-138
sm2-139,Geotech System,"Once during your turn (before your attack), you may attach a Psychic or Metal Energy card from your discard pile to your Active Pokémon.",Ability,sm2-139
sm2-146,Feather Arrow,"Once during your turn (before your attack), you may put 2 damage counters on 1 of your opponent's Pokémon.",Ability,sm2-146
sm2-153,Aero Trail,"When you play this Pokémon from your hand onto your Bench during your turn, you may move any number of Lightning Energy from your other Pokémon to this Pokémon. If you do, switch this Pokémon with your Active Pokémon.",Ability,sm2-153
sm2-155,Wonder Tag,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.",Ability,sm2-155
sm2-156,Bloodthirsty Eyes,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may switch 1 of your opponent's Benched Pokémon with their Active Pokémon.",Ability,sm2-156
sm2-157,Geotech System,"Once during your turn (before your attack), you may attach a Psychic or Metal Energy card from your discard pile to your Active Pokémon.",Ability,sm2-157
sm2-157a,Geotech System,"Once during your turn (before your attack), you may attach a Psychic or Metal Energy card from your discard pile to your Active Pokémon.",Ability,sm2-157a
sm3-6,Disgusting Pollen,"As long as this Pokémon is your Active Pokémon, your opponent's Basic Pokémon can't attack.",Ability,sm3-6
sm3-11,Guts,"If this Pokémon would be Knocked Out by damage from an attack, flip a coin. If heads, this Pokémon is not Knocked Out, and its remaining HP becomes 10.",Ability,sm3-11
sm3-16,Wimp Out,"During your first turn, this Pokémon has no Retreat Cost.",Ability,sm3-16
sm3-28,Luminous Barrier,"Prevent all effects of attacks, including damage, done to this Pokémon by your opponent's Pokémon-GX or Pokémon-EX.",Ability,sm3-28
sm3-35,Thick Fat,This Pokémon takes 30 less damage from the attacks of your opponent's Fire or Water Pokémon (after applying Weakness and Resistance).,Ability,sm3-35
sm3-41,Evoshock,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may leave your opponent's Active Pokémon Paralyzed.",Ability,sm3-41
sm3-50,More Poison,Put 1 more damage counter on your opponent's Poisoned Pokémon between turns.,Ability,sm3-50
sm3-53,Dark Invitation,"Once during your turn (before your attack), you may have your opponent reveal their hand. Put a Basic Pokémon you find there onto your opponent's Bench, and put 3 damage counters on that Pokémon.",Ability,sm3-53
sm3-63,Light's End,Prevent all damage done to this Pokémon by attacks from Colorless Pokémon.,Ability,sm3-63
sm3-67,Toppling Wind,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 3 cards of your opponent's deck.",Ability,sm3-67
sm3-68,Heal Block,"If you have Solrock in play, Pokémon (both yours and your opponent's) can't be healed.",Ability,sm3-68
sm3-71,Stance,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may prevent all effects of your opponent's attacks, including damage, done to this Pokémon until the end of your opponent's next turn.",Ability,sm3-71
sm3-80,Shadow Hunt,This Pokémon can use the attacks of any Basic Pokémon in your discard pile. (You still need the necessary Energy to use each attack.),Ability,sm3-80
sm3-88,Restoration,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put it onto your Bench. Then, attach a Darkness Energy card from your discard pile to this Pokémon.",Ability,sm3-88
sm3-88a,Restoration,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put it onto your Bench. Then, attach a Darkness Energy card from your discard pile to this Pokémon.",Ability,sm3-88a
sm3-93,Secret Spring,"Once during your turn (before your attack), you may attach a Fairy Energy card from your hand to 1 of your Pokémon.",Ability,sm3-93
sm3-96,Honey Gather,"Once during your turn (before your attack), you may search your deck for up to 2 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",Ability,sm3-96
sm3-105,Initialize,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may devolve each of your opponent's evolved Pokémon by putting the highest Stage Evolution card on it into your opponent's hand.",Ability,sm3-105
sm3-105a,Initialize,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may devolve each of your opponent's evolved Pokémon by putting the highest Stage Evolution card on it into your opponent's hand.",Ability,sm3-105a
sm3-134,Light's End,Prevent all damage done to this Pokémon by attacks from Colorless Pokémon.,Ability,sm3-134
sm3-137,Shadow Hunt,This Pokémon can use the attacks of Basic Pokémon in your discard pile. (You still need the necessary Energy to use each attack.),Ability,sm3-137
sm3-139,Restoration,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put it onto your Bench. Then, attach a Darkness Energy card from your discard pile to this Pokémon.",Ability,sm3-139
sm3-140,Secret Spring,"Once during your turn (before your attack), you may attach a Fairy Energy card from your hand to 1 of your Pokémon.",Ability,sm3-140
sm3-153,Light's End,Prevent all damage done to this Pokémon by attacks from Colorless Pokémon.,Ability,sm3-153
sm3-156,Shadow Hunt,This Pokémon can use the attacks of Basic Pokémon in your discard pile. (You still need the necessary Energy to use each attack.),Ability,sm3-156
sm3-158,Restoration,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put it onto your Bench. Then, attach a Darkness Energy card from your discard pile to this Pokémon.",Ability,sm3-158
sm3-159,Secret Spring,"Once during your turn (before your attack), you may attach a Fairy Energy card from your hand to 1 of your Pokémon.",Ability,sm3-159
sm35-3,Jungle Totem,Each basic Grass Energy attached to your Pokémon provides GrassGrass Energy. You can't apply more than 1 Jungle Totem Ability at a time.,Ability,sm35-3
sm35-9,Energy Reload,"Once during your turn (before your attack), you may move a Grass Energy from 1 of your other Pokémon to this Pokémon.",Ability,sm35-9
sm35-13,Heat Cyclone,"Once during your turn (before your attack), you may have your opponent switch their Active Pokémon with 1 of their Benched Pokémon.",Ability,sm35-13
sm35-19,Plunge,"Once during your turn (before your attack), if this Pokémon is on your Bench, you may move all Energy from your Active Pokémon to this Pokémon. If you do, switch it with your Active Pokémon.",Ability,sm35-19
sm35-25,Blessings of the Deep,"Once during your turn (before your attack), you may heal 20 damage from 1 of your Pokémon that has any Water Energy attached to it.",Ability,sm35-25
sm35-37,Intimidating Pattern,"As long as this Pokémon is your Active Pokémon, your opponent's Active Pokémon's attacks do 30 less damage (before applying Weakness and Resistance).",Ability,sm35-37
sm35-45,Let Loose,"When you play this Pokémon from your hand onto your Bench during your turn, you may have each player shuffle their hand into their deck and draw 4 cards.",Ability,sm35-45
sm35-47,Cursed Whirlpool,"As long as this Pokémon is your Active Pokémon, your opponent's Active Pokémon can't retreat.",Ability,sm35-47
sm35-53,Trade,"Once during your turn (before your attack), you may discard a card from your hand. If you do, draw 2 cards.",Ability,sm35-53
sm35-55,Scoundrel Guard,"Prevent all effects of attacks, including damage, done to this Pokémon by your opponent's Pokémon-GX or Pokémon-EX.",Ability,sm35-55
sm35-57,Fabled Defense,"As long as this Pokémon is your Active Pokémon, prevent all damage done to your Benched Pokémon by your opponent's attacks.",Ability,sm35-57
sm35-77,Trade,"Once during your turn (before your attack), you may discard a card from your hand. If you do, draw 2 cards.",Ability,sm35-77
sm35-77a,Trade,"Once during your turn (before your attack), you may discard a card from your hand. If you do, draw 2 cards.",Ability,sm35-77a
sm4-7,Shell On,"Once during your turn (before your attack), you may discard a Shelmet from your hand. If you do, search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.",Ability,sm4-7
sm4-11,Sap Sipper,This Pokémon's attacks do 80 more damage to your opponent's Grass Pokémon (before applying Weakness and Resistance).,Ability,sm4-11
sm4-16,Escape,"Once during your turn (before your attack), you may shuffle this Pokémon and all cards attached to it into your deck.",Ability,sm4-16
sm4-17,Submerge,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's).",Ability,sm4-17
sm4-28,Iceberg Shield,"If you have Regirock in play, prevent all effects of attacks, including damage, done to this Pokémon by your opponent's Stage 2 Pokémon.",Ability,sm4-28
sm4-31,Surge Surfer,"If there is any Stadium card in play, this Pokémon has no Retreat Cost.",Ability,sm4-31
sm4-38,Gnawing Curse,"Whenever your opponent attaches an Energy card from their hand to 1 of their Pokémon, put 2 damage counters on that Pokémon.",Ability,sm4-38
sm4-42,Own Tempo,This Pokémon can't be Confused.,Ability,sm4-42
sm4-49,Empty Light,"When you play this Pokémon from your hand onto your Bench during your turn, you may leave both Active Pokémon Confused and Poisoned.",Ability,sm4-49
sm4-53,Rock Peak Growl,Your Registeel's attacks do 10 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).,Ability,sm4-53
sm4-56,Fluffy,This Pokémon takes 30 less damage from the attacks of your opponent's non-Fire Pokémon (after applying Weakness and Resistance).,Ability,sm4-56
sm4-62,Weed Out,"Once during your turn (before your attack), you may choose 3 of your Benched Pokémon. Then, discard your other Benched Pokémon.",Ability,sm4-62
sm4-70,Slice Off,"When you play this Pokémon from your hand onto your Bench during your turn, you may discard a Special Energy from 1 of your opponent's Pokémon.",Ability,sm4-70
sm4-78,Moomoo Malt,"As long as this Pokémon is your Active Pokémon, whenever you attach an Energy card from your hand to 1 of your Pokémon, heal 90 damage from that Pokémon.",Ability,sm4-78
sm4-84,Seal of Antiquity,"This Pokémon can't attack unless Regirock, Regice, and Registeel are on your Bench.",Ability,sm4-84
sm4-84a,Seal of Antiquity,"This Pokémon can't attack unless Regirock, Regice, and Registeel are on your Bench.",Ability,sm4-84a
sm4-90,Gyro Unit,Your Basic Pokémon in play have no Retreat Cost.,Ability,sm4-90
sm4-103,Empty Light,"When you play this Pokémon from your hand onto your Bench during your turn, you may leave both Active Pokémon Confused and Poisoned.",Ability,sm4-103
sm4-106,Slice Off,"When you play this Pokémon from your hand onto your Bench during your turn, you may discard a Special Energy from 1 of your opponent's Pokémon.",Ability,sm4-106
sm4-108,Gyro Unit,Your Basic Pokémon in play have no Retreat Cost.,Ability,sm4-108
sm4-114,Empty Light,"When you play this Pokémon from your hand onto your Bench during your turn, you may leave both Active Pokémon Confused and Poisoned.",Ability,sm4-114
sm4-117,Slice Off,"When you play this Pokémon from your hand onto your Bench during your turn, you may discard a Special Energy from 1 of your opponent's Pokémon.",Ability,sm4-117
sm4-119,Gyro Unit,Your Basic Pokémon in play have no Retreat Cost.,Ability,sm4-119
sm5-11,Weather Guard,Your Grass Pokémon have no Weakness.,Ability,sm5-11
sm5-13,Breath of the Leaves,"If this Pokémon is your Active Pokémon, once during your turn (before your attack), you may heal 50 damage from 1 of your Pokémon that has any Energy attached to it.",Ability,sm5-13
sm5-14,Roto Motor,"If you have 9 or more Pokémon Tool cards in your discard pile, ignore all Energy in the attack cost of each of this Pokémon's attacks.",Ability,sm5-14
sm5-17,Water Bubble,Prevent all damage done to this Pokémon by attacks from your opponent's Fire Pokémon.,Ability,sm5-17
sm5-19,Incandescent Body,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), the Attacking Pokémon is now Burned.",Ability,sm5-19
sm5-23,Flaming Fighter,Put 6 damage counters instead of 2 on your opponent's Burned Pokémon between turns.,Ability,sm5-23
sm5-24,Roto Motor,"If you have 9 or more Pokémon Tool cards in your discard pile, ignore all Energy in the attack cost of each of this Pokémon's attacks.",Ability,sm5-24
sm5-38,Blessings of the Frost,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may attach a Water Energy card from your discard pile to 1 of your Pokémon.",Ability,sm5-38
sm5-39,Freezing Gaze,"As long as this Pokémon is your Active Pokémon, your opponent's Pokémon-GX and Pokémon-EX in play, in their hand, and in their discard pile have no Abilities, except for Freezing Gaze.",Ability,sm5-39
sm5-40,Roto Motor,"If you have 9 or more Pokémon Tool cards in your discard pile, ignore all Energy in the attack cost of each of this Pokémon's attacks.",Ability,sm5-40
sm5-41,Roto Motor,"If you have 9 or more Pokémon Tool cards in your discard pile, ignore all Energy in the attack cost of each of this Pokémon's attacks.",Ability,sm5-41
sm5-45,Evolutionary Advantage,"If you go second, this Pokémon can evolve during your first turn.",Ability,sm5-45
sm5-48,Intimidating Fang,"As long as this Pokémon is your Active Pokémon, your opponent's Active Pokémon's attacks do 30 less damage (before applying Weakness and Resistance).",Ability,sm5-48
sm5-50,Roto Motor,"If you have 9 or more Pokémon Tool cards in your discard pile, ignore all Energy in the attack cost of each of this Pokémon's attacks.",Ability,sm5-50
sm5-58,Chaotic Star,"When you play this Pokémon from your hand onto your Bench during your turn, you may attach 2 Psychic Energy cards from your hand to it.",Ability,sm5-58
sm5-63,Invasion,"Once during your turn (before your attack), if this Pokémon is on your Bench, you may switch it with your Active Pokémon.",Ability,sm5-63
sm5-67,Precognitive Aura,"Once during your turn (before your attack), if you have Garchomp in play, you may search your deck for a card and put it into your hand. Then, shuffle your deck.",Ability,sm5-67
sm5-70,Power Huddle,"As long as this Pokémon is on your Bench, your Passimian's attacks do 30 more damage to your opponent's Active Evolution Pokémon (before applying Weakness and Resistance).",Ability,sm5-70
sm5-77,Nightmare Star,"When you play this Pokémon from your hand onto your Bench during your turn, you may attach 2 Darkness Energy cards from your hand to it.",Ability,sm5-77
sm5-81,Solid Unit,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's).",Ability,sm5-81
sm5-83,Magnetic Circuit,"As often as you like during your turn (before your attack), you may attach a Metal Energy card from your hand to 1 of your Pokémon.",Ability,sm5-83
sm5-85,Earthen Shield,Prevent all damage done to your Metal Pokémon by attacks from your opponent's Pokémon that have any Special Energy attached to them.,Ability,sm5-85
sm5-91,Change Clothes,"Once during your turn (before your attack), you may put a Pokémon Tool card attached to 1 of your Pokémon into your hand.",Ability,sm5-91
sm5-93,Illuminate,"Once during your turn (before your attack), you may search your deck for a Fairy Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",Ability,sm5-93
sm5-97,Rock Hiding,"If this Pokémon has any Fighting Energy attached to it, it has no Retreat Cost.",Ability,sm5-97
sm5-110,Roto Motor,"If you have 9 or more Pokémon Tool cards in your discard pile, ignore all Energy in the attack cost of each of this Pokémon's attacks.",Ability,sm5-110
sm5-116,Gyro Unit,Your Basic Pokémon in play have no Retreat Cost.,Ability,sm5-116
sm5-139,Breath of the Leaves,"If this Pokémon is your Active Pokémon, once during your turn (before your attack), you may heal 50 damage from 1 of your Pokémon that has any Energy attached to it.",Ability,sm5-139
sm5-141,Freezing Gaze,"As long as this Pokémon is your Active Pokémon, your opponent's Pokémon-GX and Pokémon-EX in play, in their hand, and in their discard pile have no Abilities, except for Freezing Gaze.",Ability,sm5-141
sm5-142,Flashing Head,Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon that have any Special Energy attached to them.,Ability,sm5-142
sm5-143,Invasion,"Once during your turn (before your attack), if this Pokémon is on your Bench, you may switch it with your Active Pokémon.",Ability,sm5-143
sm5-157,Breath of the Leaves,"If this Pokémon is your Active Pokémon, once during your turn (before your attack), you may heal 50 damage from 1 of your Pokémon that has any Energy attached to it.",Ability,sm5-157
sm5-159,Freezing Gaze,"As long as this Pokémon is your Active Pokémon, your opponent's Pokémon-GX and Pokémon-EX in play, in their hand, and in their discard pile have no Abilities, except for Freezing Gaze.",Ability,sm5-159
sm5-160,Flashing Head,Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon that have any Special Energy attached to them.,Ability,sm5-160
sm5-161,Invasion,"Once during your turn (before your attack), if this Pokémon is on your Bench, you may switch it with your Active Pokémon.",Ability,sm5-161
sm5-172,Psychic Transfer,"As often as you like during your turn (before your attack), you may move a Psychic Energy from 1 of your Pokémon to another of your Pokémon.",Ability,sm5-172
sm5-173,Ultra Road,"Once during your turn (before your attack), you may switch your Active Pokémon with 1 of your Benched Pokémon.",Ability,sm5-173
