id,name,nationalPokedexNumbers,level,hp,type1,type2,evolvesFrom,weaknessColor,weaknessModifier,ability_name,ability_text,ability_type
bw10-37,Mesprit,[481],,60,Psychic,,,Psychic,×2,Mental Shroud,"If you have Uxie and Azelf in play, each of your Pokémon has no Weakness.",Ability
bw10-38,Azelf,[482],,60,Psychic,,,Psychic,×2,,,
bw10-39,Munna,[517],,60,Psychic,,,Psychic,×2,,,
bw10-40,Musharna,[518],,100,Psychic,,Munna,Psychic,×2,,,
bw10-41,Sigilyph,[561],,90,Psychic,,,Lightning,×2,Toolbox,"This Pokémon may have up to 4 Pokémon Tool cards attached to it. (If this Pokémon loses this Ability, discard Pokémon Tool cards attached to this Pokémon until only 1 Pokémon Tool card remains.)",Ability
bw10-42,Solosis,[577],,30,Psychic,,,Psychic,×2,,,
bw10-43,Duosion,[578],,60,Psychic,,Solosis,Psychic,×2,,,
bw10-44,Reuniclus,[579],,100,Psychic,,Duosion,Psychic,×2,,,
bw10-45,Golett,[622],,80,Psychic,,,Darkness,×2,,,
bw10-46,Golurk,[623],,130,Psychic,,Golett,Darkness,×2,,,
bw10-47,Machop,[66],,60,Fighting,,,Psychic,×2,,,
bw10-48,Machoke,[67],,90,Fighting,,Machop,Psychic,×2,,,
bw10-49,Machamp,[68],,150,Fighting,,Machoke,Psychic,×2,Badge of Discipline,The damage of each of your Fighting Pokémon's attacks isn't affected by Resistance.,Ability
bw10-50,Machamp,[68],,140,Fighting,,Machoke,Psychic,×2,,,
bw10-51,Throh,[538],,100,Fighting,,,Psychic,×2,,,
bw10-52,Sawk,[539],,90,Fighting,,,Psychic,×2,,,
bw10-53,Archen,[566],,70,Fighting,,Plume Fossil,Grass,×2,Prehistoric Call,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put this Pokémon on the bottom of your deck.",Ability
bw10-54,Archeops,[567],,120,Fighting,,Archen,Grass,×2,,,
bw10-55,Houndour,[228],,60,Darkness,,,Fighting,×2,,,
bw10-56,Houndoom,[229],,100,Darkness,,Houndour,Fighting,×2,,,
bw10-57,Aron,[304],,60,Metal,,,Fire,×2,,,
bw10-58,Lairon,[305],,90,Metal,,Aron,Fire,×2,,,
bw10-59,Aggron,[306],,140,Metal,,Lairon,Fire,×2,,,
bw10-60,Jirachi-EX,[385],,90,Metal,,,Fire,×2,Stellar Guidance,"When you play this Pokémon from your hand onto your Bench, you may search your deck for a Supporter card, reveal it, and put it into your hand. Shuffle your deck afterward.",Ability
bw10-61,Escavalier,[589],,100,Metal,,Karrablast,Fire,×2,,,
bw10-62,Bagon,[371],,50,Dragon,,,Dragon,×2,,,
bw10-63,Shelgon,[372],,80,Dragon,,Bagon,Dragon,×2,,,
bw10-64,Salamence,[373],,150,Dragon,,Shelgon,Dragon,×2,Breakwing,"When you play this Pokémon from your hand to evolve 1 of your Pokémon, you may discard all Pokémon Tool cards attached to each of your opponent's Pokémon.",Ability
bw10-65,Dialga-EX,[483],,180,Dragon,,,Dragon,×2,,,
bw10-66,Palkia-EX,[484],,180,Dragon,,,Dragon,×2,,,
bw10-67,Axew,[610],,50,Dragon,,,Dragon,×2,,,
bw10-68,Fraxure,[611],,80,Dragon,,Axew,Dragon,×2,,,
bw10-69,Haxorus,[612],,140,Dragon,,Fraxure,Dragon,×2,,,
bw10-70,Druddigon,[621],,100,Dragon,,,Dragon,×2,,,
bw10-71,Kangaskhan,[115],,100,Colorless,,,Fighting,×2,,,
bw10-72,Porygon,[137],,60,Colorless,,,Fighting,×2,,,
bw10-73,Porygon2,[233],,80,Colorless,,Porygon,Fighting,×2,,,
bw10-74,Porygon-Z,[474],,130,Colorless,,Porygon2,Fighting,×2,Plasma Transfer,"As often as you like during your turn (before your attack), you may move a Plasma Energy attached to 1 of your Pokémon to another of your Pokémon.",Ability
bw10-75,Teddiursa,[216],,70,Colorless,,,Fighting,×2,,,
bw10-76,Ursaring,[217],,130,Colorless,,Teddiursa,Fighting,×2,,,
bw10-77,Chatot,[441],,60,Colorless,,,Lightning,×2,,,
bw10-96,Virizion-EX,[640],,170,Grass,,,Fire,×2,Verdant Wind,Each of your Pokémon that has any Grass Energy attached to it can't be affected by any Special Conditions. (Remove any Special Conditions affecting those Pokémon.),Ability
bw10-97,Genesect-EX,[649],,170,Grass,,,Fire,×2,Red Signal,"When you attach a Plasma Energy from your hand to this Pokémon, you may switch 1 of your opponent's Benched Pokémon with his or her Active Pokémon.",Ability
bw10-98,Jirachi-EX,[385],,90,Metal,,,Fire,×2,Stellar Guidance,"When you play this Pokémon from your hand onto your Bench, you may search your deck for a Supporter card, reveal it, and put it into your hand. Shuffle your deck afterward.",Ability
bw10-99,Dialga-EX,[483],,180,Dragon,,,Dragon,×2,,,
bw10-100,Palkia-EX,[484],,180,Dragon,,,Dragon,×2,,,
bw10-102,Exeggcute,[102],,30,Grass,,,Fire,×2,Propagation,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put this Pokémon into your hand.",Ability
bw10-103,Virizion,[640],,110,Grass,,,Fire,×2,,,
bw10-104,Dusknoir,[477],,130,Psychic,,Dusclops,Darkness,×2,Sinister Hand,"As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another of your opponent's Pokémon.",Ability
bw11-1,Tangela,[114],,70,Grass,,,Fire,×2,,,
bw11-2,Tangrowth,[465],,120,Grass,,Tangela,Fire,×2,,,
bw11-3,Shuckle,[213],,80,Grass,,,Fire,×2,,,
bw11-4,Cherubi,[420],,40,Grass,,,Fire,×2,,,
bw11-5,Carnivine,[455],,80,Grass,,,Fire,×2,,,
bw11-6,Snivy,[495],,60,Grass,,,Fire,×2,,,
bw11-7,Servine,[496],,80,Grass,,Snivy,Fire,×2,,,
bw11-8,Serperior,[497],,130,Grass,,Servine,Fire,×2,Royal Heal,"At any time between turns, heal 10 damage from each of your Pokémon.",Ability
bw11-9,Sewaddle,[540],,50,Grass,,,Fire,×2,,,
bw11-10,Sewaddle,[540],,50,Grass,,,Fire,×2,,,
bw11-11,Swadloon,[541],,70,Grass,,Sewaddle,Fire,×2,,,
bw11-12,Leavanny,[542],,130,Grass,,Swadloon,Fire,×2,Leaf Tailor,Each of your Pokémon that has any Energy attached to it has no Weakness.,Ability
bw11-13,Dwebble,[557],,60,Grass,,,Fire,×2,,,
bw11-14,Crustle,[558],,100,Grass,,Dwebble,Fire,×2,,,
bw11-15,Virizion,[640],,110,Grass,,,Fire,×2,,,
bw11-16,Genesect,[649],,110,Grass,,,Fire,×2,,,
bw11-17,Charmander,[4],,70,Fire,,,Water,×2,,,
bw11-18,Charmeleon,[5],,90,Fire,,Charmander,Water,×2,,,
bw11-19,Charizard,[6],,160,Fire,,Charmeleon,Water,×2,,,
bw11-20,Vulpix,[37],,60,Fire,,,Water,×2,,,
bw11-21,Ninetales,[38],,90,Fire,,Vulpix,Water,×2,,,
bw11-22,Moltres,[146],,120,Fire,,,Water,×2,,,
bw11-23,Victini,[494],,60,Fire,,,Water,×2,Victory Star,"Once during your turn, after you flip any coins for an attack, you may ignore all effects of those coin flips and being flipping those coins again. You can't use more than 1 Victory Star Ability each turn.",Ability
bw11-24,Victini-EX,[494],,110,Fire,,,Water,×2,,,
bw11-25,Tepig,[498],,70,Fire,,,Water,×2,,,
bw11-26,Pignite,[499],,100,Fire,,Tepig,Water,×2,,,
bw11-27,Emboar,[500],,150,Fire,,Pignite,Water,×2,Inferno Fandango,"As often as you like during your turn (before your attack), you may attach a Fire Energy card from your hand to 1 of your Pokémon.",Ability
bw11-28,Reshiram,[643],,130,Fire,,,Water,×2,,,
bw11-29,Reshiram-EX,[643],,180,Fire,,,Water,×2,,,
bw11-30,Magikarp,[129],,30,Water,,,Lightning,×2,,,
bw11-31,Gyarados,[130],,130,Water,,Magikarp,Lightning,×2,,,
bw11-32,Articuno,[144],,120,Water,,,Metal,×2,,,
bw11-33,Piplup,[393],,60,Water,,,Lightning,×2,,,
bw11-34,Prinplup,[394],,90,Water,,Piplup,Lightning,×2,,,
bw11-35,Empoleon,[395],,140,Water,,Prinplup,Lightning,×2,,,
bw11-36,Phione,[489],,70,Water,,,Lightning,×2,,,
bw11-37,Oshawott,[501],,60,Water,,,Lightning,×2,,,
bw11-38,Dewott,[502],,80,Water,,Oshawott,Lightning,×2,,,
bw11-39,Samurott,[503],,140,Water,,Dewott,Lightning,×2,Shell Armor,Any damage done to this Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).,Ability
bw11-40,Tympole,[535],,60,Water,,,Grass,×2,,,
bw11-41,Palpitoad,[536],,80,Water,,Tympole,Grass,×2,,,
bw11-42,Seismitoad,[537],,140,Water,,Palpitoad,Grass,×2,,,
bw11-43,Kyurem,[646],,130,Water,,,Metal,×2,,,
bw11-44,Kyurem-EX,[646],,180,Water,,,Metal,×2,,,
bw11-45,Keldeo-EX,[647],,170,Water,,,Grass,×2,Rush In,"Once during your turn (before your attack), if this Pokémon is on your Bench, you may switch this Pokémon with your Active Pokémon.",Ability
bw11-46,Zapdos,[145],,120,Lightning,,,Lightning,×2,,,
bw11-47,Plusle,[311],,60,Lightning,,,Fighting,×2,,,
bw11-48,Minun,[312],,60,Lightning,,,Fighting,×2,,,
bw11-49,Emolga,[587],,70,Lightning,,,Lightning,×2,,,
bw11-50,Thundurus,[642],,110,Lightning,,,Fighting,×2,,,
bw11-51,Zekrom,[644],,130,Lightning,,,Fighting,×2,,,
bw11-52,Zekrom-EX,[644],,180,Lightning,,,Fighting,×2,,,
bw11-53,Mewtwo,[150],,120,Psychic,,,Psychic,×2,,,
bw11-54,Mewtwo-EX,[150],,170,Psychic,,,Psychic,×2,,,
bw11-55,Natu,[177],,50,Psychic,,,Psychic,×2,,,
bw11-56,Xatu,[178],,90,Psychic,,Natu,Psychic,×2,,,
bw11-57,Misdreavus,[200],,60,Psychic,,,Darkness,×2,,,
bw11-58,Mismagius,[429],,100,Psychic,,Misdreavus,Darkness,×2,,,
bw11-59,Ralts,[280],,60,Psychic,,,Psychic,×2,,,
bw11-60,Kirlia,[281],,80,Psychic,,Ralts,Psychic,×2,,,
bw11-61,Sableye,[302],,70,Psychic,,,,,,,
bw11-62,Croagunk,[453],,70,Psychic,,,Psychic,×2,,,
bw11-63,Toxicroak,[454],,90,Psychic,,Croagunk,Psychic,×2,,,
bw11-64,Woobat,[527],,50,Psychic,,,Lightning,×2,,,
bw11-65,Swoobat,[528],,80,Psychic,,Woobat,Lightning,×2,,,
bw11-66,Sigilyph,[561],,90,Psychic,,,Psychic,×2,Safeguard,"Prevent all effects of attacks, including damage, done to this Pokémon by Pokémon-EX.",Ability
bw11-67,Trubbish,[568],,70,Psychic,,,Psychic,×2,,,
bw11-68,Garbodor,[569],,100,Psychic,,Trubbish,Psychic,×2,Garbotoxin,"If this Pokémon has a Pokémon Tool card attached to it, each Pokémon in play, in each player's hand, and in each player's discard pile has no Abilities (except for Garbotoxin).",Ability
bw11-69,Gothita,[574],,60,Psychic,,,Psychic,×2,,,
bw11-70,Gothita,[574],,50,Psychic,,,Psychic,×2,,,
bw11-71,Gothorita,[575],,80,Psychic,,Gothita,Psychic,×2,,,
bw11-72,Gothitelle,[576],,130,Psychic,,Gothorita,Psychic,×2,Magic Room,"As long as this Pokémon is your Active Pokémon, your opponent can't play any Item cards from his or her hand.",Ability
bw11-73,Solosis,[577],,30,Psychic,,,Psychic,×2,,,
bw11-74,Solosis,[577],,30,Psychic,,,Psychic,×2,,,
bw11-75,Duosion,[578],,60,Psychic,,Solosis,Psychic,×2,,,
bw11-76,Reuniclus,[579],,90,Psychic,,Duosion,Psychic,×2,,,
bw11-77,Chandelure-EX,[609],,170,Psychic,,,Darkness,×2,,,
bw11-78,Meloetta,[648],,80,Psychic,,,Psychic,×2,,,
bw11-79,Riolu,[447],,70,Fighting,,,Psychic,×2,,,
bw11-80,Lucario,[448],,100,Fighting,,Riolu,Psychic,×2,Reflexive Retaliation,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon.",Ability
bw11-81,Gallade,[475],,140,Fighting,,Kirlia,Psychic,×2,,,
bw11-82,Excadrill-EX,[530],,180,Fighting,,,Water,×2,,,
bw11-83,Stunfisk,[618],,100,Fighting,,,Water,×2,,,
bw11-84,Terrakion,[639],,130,Fighting,,,Grass,×2,,,
bw11-85,Landorus,[645],,110,Fighting,,,Water,×2,,,
bw11-86,Meloetta,[648],,90,Fighting,,,Psychic,×2,,,
bw11-87,Spiritomb,[442],,80,Darkness,,,,,Sealing Scream,Each player can't play any ACE SPEC cards from his or her hand.,Ability
bw11-88,Darkrai-EX,[491],,180,Darkness,,,Fighting,×2,Dark Cloak,Each of your Pokémon that has any Darkness Energy attached to it has no Retreat Cost.,Ability
bw11-89,Zorua,[570],,50,Darkness,,,Fighting,×2,,,
bw11-90,Zoroark,[571],,100,Darkness,,Zorua,Fighting,×2,,,
bw11-91,Cobalion,[638],,120,Metal,,,Fire,×2,,,
bw11-92,Altaria,[334],,80,Dragon,,Swablu,Dragon,×2,,,
bw11-93,Rayquaza,[384],,120,Dragon,,,Dragon,×2,,,
bw11-94,Gible,[443],,50,Dragon,,,Dragon,×2,,,
bw11-95,Gabite,[444],,80,Dragon,,Gible,Dragon,×2,,,
bw11-96,Garchomp,[445],,140,Dragon,,Gabite,Dragon,×2,,,
bw11-97,Deino,[633],,60,Dragon,,,Dragon,×2,,,
bw11-98,Zweilous,[634],,80,Dragon,,Deino,Dragon,×2,,,
bw11-99,Hydreigon,[635],,150,Dragon,,Zweilous,Dragon,×2,Dark Trance,"As often as you like during your turn (before your attack), you may move a Darkness Energy attached to 1 of your Pokémon to another of your Pokémon.",Ability
bw11-100,Black Kyurem-EX,[646],,180,Dragon,,,Dragon,×2,,,
bw11-101,White Kyurem-EX,[646],,180,Dragon,,,Dragon,×2,,,
bw11-102,Lugia-EX,[249],,180,Colorless,,,Lightning,×2,Overflow,"If your opponent's Pokémon is Knocked Out by damage from an attack of this Pokémon, take 1 more Prize card.",Ability
bw11-103,Swablu,[333],,40,Colorless,,,Lightning,×2,,,
bw11-104,Minccino,[572],,60,Colorless,,,Fighting,×2,,,
bw11-105,Cinccino,[573],,90,Colorless,,Minccino,Fighting,×2,Smooth Coat,"If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.",Ability
bw11-106,Druddigon,[621],,100,Colorless,,,,,Rough Skin,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon.",Ability
bw11-107,Bouffalant,[626],,100,Colorless,,,Fighting,×2,,,
bw11-108,Tornadus,[641],,110,Colorless,,,Lightning,×2,,,
bw11-114,Reshiram,[643],,130,Fire,,,Water,×2,,,
bw11-115,Zekrom,[644],,130,Lightning,,,Fighting,×2,,,
bw11-RC1,Snivy,[495],,50,Grass,,,Fire,×2,,,
bw11-RC2,Servine,[496],,80,Grass,,Snivy,Fire,×2,,,
bw11-RC3,Serperior,[497],,140,Grass,,Servine,Fire,×2,Royal Garden,"If this Pokémon has any Grass Energy attached to it, this Pokémon has no Retreat Cost.",Ability
bw11-RC4,Growlithe,[58],,80,Fire,,,Water,×2,,,
bw11-RC5,Torchic,[255],,60,Fire,,,Water,×2,,,
bw11-RC6,Piplup,[393],,60,Water,,,Lightning,×2,,,
bw11-RC7,Pikachu,[25],,60,Lightning,,,Fighting,×2,,,
bw11-RC8,Ralts,[280],,40,Psychic,,,Psychic,×2,,,
bw11-RC9,Kirlia,[281],,70,Psychic,,Kirlia,Psychic,×2,,,
bw11-RC10,Gardevoir,[282],,120,Psychic,,Kirlia,Psychic,×2,,,
bw11-RC11,Meloetta-EX,[648],,110,Psychic,,,Psychic,×2,,,
bw11-RC12,Stunfisk,[618],,90,Fighting,,,Water,×2,,,
bw11-RC13,Purrloin,[509],,50,Darkness,,,Fighting,×2,,,
bw11-RC14,Eevee,[133],,60,Colorless,,,Fighting,×2,,,
bw11-RC15,Teddiursa,[216],,60,Colorless,,,Fighting,×2,,,
bw11-RC16,Ursaring,[217],,130,Colorless,,Teddiursa,Fighting,×2,,,
bw11-RC17,Audino,[531],,80,Colorless,,,Fighting,×2,,,
bw11-RC18,Minccino,[572],,60,Colorless,,,Fighting,×2,,,
bw11-RC19,Cinccino,[573],,90,Colorless,,Minccino,Fighting,×2,Smooth Coat,"If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.",Ability
bw11-RC21,Shaymin-EX,[492],,110,Grass,,,Fire,×2,,,
bw11-RC22,Reshiram,[643],,130,Fire,,,Water,×2,,,
bw11-RC23,Emolga,[587],,70,Lightning,,,Lightning,×2,,,
bw11-RC24,Mew-EX,[151],,120,Psychic,,,Psychic,×2,Versatile,This Pokémon can use the attacks of any Pokémon in play (both yours and your opponent's). (You still need the necessary Energy to use each attack.),Ability
bw11-RC25,Meloetta-EX,[648],,110,Psychic,,,Psychic,×2,,,
bw2-1,Pansage,[511],,70,Grass,,,Fire,×2,,,
bw2-2,Simisage,[512],,90,Grass,,Pansage,Fire,×2,,,
bw2-3,Sewaddle,[540],,40,Grass,,,Fire,×2,,,
bw2-4,Sewaddle,[540],,50,Grass,,,Fire,×2,,,
bw2-5,Swadloon,[541],,80,Grass,,Sewaddle,Fire,×2,,,
bw2-6,Swadloon,[541],,70,Grass,,Sewaddle,Fire,×2,,,
bw2-7,Leavanny,[542],,130,Grass,,Swadloon,Fire,×2,,,
bw2-8,Leavanny,[542],,130,Grass,,Swadloon,Fire,×2,,,
bw2-9,Cottonee,[546],,40,Grass,,,Fire,×2,,,
bw2-10,Cottonee,[546],,50,Grass,,,Fire,×2,,,
bw2-11,Whimsicott,[547],,80,Grass,,Cottonee,Fire,×2,,,
bw2-12,Whimsicott,[547],,80,Grass,,Cottonee,Fire,×2,,,
bw2-13,Petilil,[548],,50,Grass,,,Fire,×2,,,
bw2-14,Lilligant,[549],,90,Grass,,Petilil,Fire,×2,,,
bw2-15,Deerling,[585],,60,Grass,,,Fire,×2,,,
bw2-16,Sawsbuck,[586],,100,Grass,,Deerling,Fire,×2,,,
bw2-17,Virizion,[640],,100,Grass,,,Fire,×2,,,
bw2-18,Pansear,[513],,70,Fire,,,Water,×2,,,
bw2-19,Simisear,[514],,90,Fire,,Pansear,Water,×2,,,
bw2-20,Darumaka,[554],,70,Fire,,,Water,×2,,,
bw2-21,Darmanitan,[555],,100,Fire,,Darumaka,Water,×2,,,
bw2-22,Panpour,[515],,70,Water,,,Lightning,×2,,,
bw2-23,Simipour,[516],,90,Water,,Panpour,Lightning,×2,,,
bw2-24,Basculin,[550],,80,Water,,,Lightning,×2,,,
bw2-25,Basculin,[550],,80,Water,,,Lightning,×2,,,
bw2-26,Ducklett,[580],,60,Water,,,Lightning,×2,,,
bw2-27,Swanna,[581],,90,Water,,Ducklett,Lightning,×2,,,
bw2-28,Cubchoo,[613],,70,Water,,,Metal,×2,,,
bw2-29,Cubchoo,[613],,70,Water,,,Metal,×2,,,
bw2-30,Beartic,[614],,130,Water,,Cubchoo,Metal,×2,,,
bw2-31,Beartic,[614],,130,Water,,Cubchoo,Metal,×2,,,
bw2-32,Emolga,[587],,70,Lightning,,,Fighting,×2,,,
bw2-33,Joltik,[595],,40,Lightning,,,Fighting,×2,,,
bw2-34,Galvantula,[596],,80,Lightning,,Joltik,Fighting,×2,,,
bw2-35,Thundurus,[642],,110,Lightning,,,Fighting,×2,,,
bw2-36,Woobat,[527],,60,Psychic,,,Psychic,×2,,,
bw2-37,Swoobat,[528],,90,Psychic,,Woobat,Lightning,×2,,,
bw2-38,Venipede,[543],,70,Psychic,,,Psychic,×2,,,
bw2-39,Whirlipede,[544],,90,Psychic,,Venipede,Psychic,×2,,,
bw2-40,Scolipede,[545],,140,Psychic,,Whirlipede,Psychic,×2,,,
bw2-41,Sigilyph,[561],,90,Psychic,,,Lightning,×2,,,
bw2-42,Sigilyph,[561],,90,Psychic,,,Lightning,×2,,,
bw2-43,Gothita,[574],,60,Psychic,,,Psychic,×2,,,
bw2-44,Gothita,[574],,60,Psychic,,,Psychic,×2,,,
bw2-45,Gothorita,[575],,80,Psychic,,Gothita,Psychic,×2,,,
bw2-46,Gothorita,[575],,80,Psychic,,Gothita,Psychic,×2,,,
bw2-47,Gothitelle,[576],,130,Psychic,,Gothorita,Psychic,×2,Magic Room,"As long as this Pokémon is your Active Pokémon, your opponent can't play any Item cards from his or her hand.",Ability
bw2-48,Gothitelle,[576],,120,Psychic,,Gothorita,Psychic,×2,,,
bw2-49,Roggenrola,[524],,60,Fighting,,,Grass,×2,,,
bw2-50,Roggenrola,[524],,60,Fighting,,,Grass,×2,,,
bw2-51,Boldore,[525],,90,Fighting,,Roggenrola,Grass,×2,,,
bw2-52,Boldore,[525],,90,Fighting,,Roggenrola,Grass,×2,,,
bw2-53,Gigalith,[526],,140,Fighting,,Boldore,Grass,×2,,,
bw2-54,Drilbur,[529],,70,Fighting,,,Water,×2,,,
bw2-55,Drilbur,[529],,60,Fighting,,,Water,×2,,,
bw2-56,Excadrill,[530],,110,Fighting,,Drilbur,Water,×2,,,
bw2-57,Excadrill,[530],,120,Fighting,,Drilbur,Water,×2,,,
bw2-58,Throh,[538],,90,Fighting,,,Psychic,×2,,,
bw2-59,Sawk,[539],,90,Fighting,,,Psychic,×2,,,
bw2-60,Sandile,[551],,70,Fighting,,,Water,×2,,,
bw2-61,Krokorok,[552],,90,Fighting,,Sandile,Water,×2,,,
bw2-62,Krookodile,[553],,140,Fighting,,Krokorok,Water,×2,Black Eyes,"Once during your turn (before your attack), if this Pokémon is your Active Pokémon, you may flip a coin. If heads, discard an Energy attached to your opponent's Active Pokémon.",Ability
bw2-63,Terrakion,[639],,120,Fighting,,,Grass,×2,,,
bw2-64,Purrloin,[509],,60,Darkness,,,Fighting,×2,,,
bw2-65,Liepard,[510],,80,Darkness,,Purrloin,Fighting,×2,,,
bw2-66,Zorua,[570],,50,Darkness,,,Fighting,×2,,,
bw2-67,Zoroark,[571],,100,Darkness,,Zorua,Fighting,×2,,,
bw2-68,Vullaby,[629],,50,Darkness,,,Lightning,×2,,,
bw2-69,Mandibuzz,[630],,90,Darkness,,Vullaby,Lightning,×2,,,
bw2-70,Ferroseed,[597],,60,Metal,,,Fire,×2,,,
bw2-71,Ferroseed,[597],,50,Metal,,,Fire,×2,,,
bw2-72,Ferrothorn,[598],,90,Metal,,Ferroseed,Fire,×2,,,
bw2-73,Ferrothorn,[598],,90,Metal,,Ferroseed,Fire,×2,,,
bw2-74,Klink,[599],,60,Metal,,,Fire,×2,,,
bw2-75,Klang,[600],,80,Metal,,Klink,Fire,×2,,,
bw2-76,Klinklang,[601],,150,Metal,,Klang,Fire,×2,,,
bw2-77,Cobalion,[638],,110,Metal,,,Fire,×2,,,
bw2-78,Patrat,[504],,60,Colorless,,,Fighting,×2,,,
bw2-79,Watchog,[505],,90,Colorless,,Patrat,Fighting,×2,,,
bw2-80,Pidove,[519],,50,Colorless,,,Lightning,×2,,,
bw2-81,Tranquill,[520],,70,Colorless,,Pidove,Lightning,×2,,,
bw2-82,Unfezant,[521],,120,Colorless,,Tranquill,Lightning,×2,,,
bw2-83,Audino,[531],,90,Colorless,,,Fighting,×2,,,
bw2-84,Minccino,[572],,60,Colorless,,,Fighting,×2,,,
bw2-85,Cinccino,[573],,90,Colorless,,Minccino,Fighting,×2,,,
bw2-86,Rufflet,[627],,60,Colorless,,,Lightning,×2,,,
bw2-87,Rufflet,[627],,60,Colorless,,,Lightning,×2,,,
bw2-88,Braviary,[628],,100,Colorless,,Rufflet,Lightning,×2,,,
bw2-89,Tornadus,[641],,110,Colorless,,,Lightning,×2,,,
bw2-97,Thundurus,[642],,110,Lightning,,,Fighting,×2,,,
bw2-98,Tornadus,[641],,110,Colorless,,,Lightning,×2,,,
bw3-1,Sewaddle,[540],,50,Grass,,,Fire,×2,,,
bw3-2,Swadloon,[541],,70,Grass,,Sewaddle,Fire,×2,,,
bw3-3,Leavanny,[542],,130,Grass,,Swadloon,Fire,×2,Leaf Tailor,Each of your Pokémon that has any Energy attached to it has no Weakness.,Ability
bw3-4,Petilil,[548],,60,Grass,,,Fire,×2,,,
bw3-5,Lilligant,[549],,80,Grass,,Petilil,Fire,×2,,,
bw3-6,Dwebble,[557],,60,Grass,,,Fire,×2,,,
bw3-7,Crustle,[558],,100,Grass,,Dwebble,Fire,×2,,,
bw3-8,Karrablast,[588],,60,Grass,,,Fire,×2,,,
bw3-9,Foongus,[590],,40,Grass,,,Fire,×2,,,
bw3-10,Amoonguss,[591],,90,Grass,,Foongus,Fire,×2,,,
bw3-11,Shelmet,[616],,60,Grass,,,Fire,×2,,,
bw3-12,Accelgor,[617],,90,Grass,,Shelmet,Fire,×2,,,
bw3-13,Virizion,[640],,110,Grass,,,Fire,×2,,,
bw3-14,Victini,[494],,60,Fire,,,Water,×2,Victory Star,"Once during your turn, after you flip any coins for an attack, you may ignore all effects of those coin flips and being flipping those coins again. You can't use more than 1 Victory Star Ability each turn.",Ability
bw3-15,Victini,[494],,70,Fire,,,Water,×2,,,
bw3-16,Pansear,[513],,70,Fire,,,Water,×2,,,
bw3-17,Simisear,[514],,90,Fire,,Pansear,Water,×2,,,
bw3-18,Heatmor,[631],,90,Fire,,,Water,×2,,,
bw3-19,Larvesta,[636],,70,Fire,,,Water,×2,,,
bw3-20,Larvesta,[636],,80,Fire,,,Water,×2,,,
bw3-21,Volcarona,[637],,110,Fire,,Larvesta,Water,×2,,,
bw3-22,Tympole,[535],,60,Water,,,Grass,×2,,,
bw3-23,Palpitoad,[536],,80,Water,,Tympole,Grass,×2,,,
bw3-24,Seismitoad,[537],,140,Water,,Palpitoad,Grass,×2,,,
bw3-25,Tirtouga,[564],,90,Water,,Cover Fossil,Grass,×2,,,
bw3-26,Carracosta,[565],,140,Water,,Tirtouga,Grass,×2,Solid Rock,"If any damage is done to this Pokémon by attacks, flip a coin. If heads, reduce that damage by 50 (after applying Weakness and Resistance).",Ability
bw3-27,Vanillite,[582],,50,Water,,,Metal,×2,,,
bw3-28,Vanillish,[583],,80,Water,,Vanillite,Metal,×2,,,
bw3-29,Vanilluxe,[584],,130,Water,,Vanillish,Metal,×2,,,
bw3-30,Frillish,[592],,80,Water,,,Lightning,×2,,,
bw3-31,Jellicent,[593],,110,Water,,Frillish,Lightning,×2,Cursed Body,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), the Attacking Pokémon is now Confused.",Ability
bw3-32,Cryogonal,[615],,80,Water,,,Metal,×2,,,
bw3-33,Cryogonal,[615],,80,Water,,,Metal,×2,,,
bw3-34,Kyurem,[646],,130,Water,,,Metal,×2,,,
bw3-35,Blitzle,[522],,60,Lightning,,,Fighting,×2,,,
bw3-36,Zebstrika,[523],,90,Lightning,,Blitzle,Fighting,×2,,,
bw3-37,Emolga,[587],,70,Lightning,,,Fighting,×2,,,
bw3-38,Tynamo,[602],,40,Lightning,,,Fighting,×2,,,
bw3-39,Tynamo,[602],,30,Lightning,,,Fighting,×2,,,
bw3-40,Eelektrik,[603],,90,Lightning,,Tynamo,Fighting,×2,Dynamotor,"Once during your turn (before your attack), you may attach a Lightning Energy card from your discard pile to 1 of your Benched Pokémon.",Ability
bw3-41,Eelektross,[604],,140,Lightning,,Eelektrik,Fighting,×2,,,
bw3-42,Stunfisk,[618],,90,Lightning,,,Fighting,×2,,,
bw3-43,Victini,[494],,60,Psychic,,,Psychic,×2,,,
bw3-44,Yamask,[562],,60,Psychic,,,Darkness,×2,,,
bw3-45,Yamask,[562],,60,Psychic,,,Darkness,×2,,,
bw3-46,Cofagrigus,[563],,90,Psychic,,Yamask,Darkness,×2,,,
