id,name,card_rule,"CONCATENATE(""insert into trainer_cards ("",TEXTJOIN("","",TRUE,A$1,C$1),"") values('"",TEXTJOIN(""','"",FALSE,A2,C2),""');"")"
ecard2-136,Town Volunteers,"You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Take 5 Baby Pokémon, Basic Pokémon, Evolution, and/or basic Energy cards from your discard pile and then show them to your opponent. Shuffle them into your deck.","insert into trainer_cards (id,card_rule) values('ecard2-136','You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Take 5 Baby Pokémon, Basic Pokémon, Evolution, and/or basic Energy cards from your discard pile and then show them to your opponent. Shuffle them into your deck.');"
ecard2-137,Traveling Salesman,"You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for up to 2 Technical Machine and/or Pokémon Tool cards, show them to your opponent, and then put them into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ecard2-137','You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for up to 2 Technical Machine and/or Pokémon Tool cards, show them to your opponent, and then put them into your hand. Shuffle your deck afterward.');"
ecard2-138,Undersea Ruins,"This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn (before attacking), that player may flip a coin. If heads, that player chooses 1 of his or her Evolved Pokémon in play and discards the top Evolution card from that Pokémon, devolving it.","insert into trainer_cards (id,card_rule) values('ecard2-138','This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn (before attacking), that player may flip a coin. If heads, that player chooses 1 of his or her Evolved Pokémon in play and discards the top Evolution card from that Pokémon, devolving it.');"
ecard2-139,Power Plant,"This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each of his or her turns, a player may discard a basic Energy card from his or her hand. If that player does, he or she chooses a basic Energy card from his or her discard pile, shows it to his or her opponent, and then puts it into his or her hand.","insert into trainer_cards (id,card_rule) values('ecard2-139','This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each of his or her turns, a player may discard a basic Energy card from his or her hand. If that player does, he or she chooses a basic Energy card from his or her discard pile, shows it to his or her opponent, and then puts it into his or her hand.');"
ecard2-140,Water Cube 01,"Attach this card to 1 of your Water Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Water Cube 01.","insert into trainer_cards (id,card_rule) values('ecard2-140','Attach this card to 1 of your Water Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Water Cube 01.');"
ecard2-141,Weakness Guard,"Attach this card to 1 of your Pokémon. Discard it at the end of your opponent''s next turn., As long as this card is attached, this Pokémon has no Weakness.","insert into trainer_cards (id,card_rule) values('ecard2-141','Attach this card to 1 of your Pokémon. Discard it at the end of your opponent''s next turn., As long as this card is attached, this Pokémon has no Weakness.');"
ecard3-119,Ancient Ruins,"This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn (before he or she attacks), if he or she has not played a Supporter card, that player may reveal his or her hand to his or her opponent. If that player reveals his or her hand and there is no Supporter card there, that player draws a card.","insert into trainer_cards (id,card_rule) values('ecard3-119','This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn (before he or she attacks), if he or she has not played a Supporter card, that player may reveal his or her hand to his or her opponent. If that player reveals his or her hand and there is no Supporter card there, that player draws a card.');"
ecard3-120,Relic Hunter,"You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for up to 2 Supporter and/or Stadium cards, show them to your opponent, and put them into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ecard3-120','You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for up to 2 Supporter and/or Stadium cards, show them to your opponent, and put them into your hand. Shuffle your deck afterward.');"
ecard3-121,Apricorn Maker,"You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for up to 2 Trainer cards with Ball in their names, show them to your opponent, and put them into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ecard3-121','You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for up to 2 Trainer cards with Ball in their names, show them to your opponent, and put them into your hand. Shuffle your deck afterward.');"
ecard3-122,Crystal Shard,"Attach Crystal Shard to 1 of your Pokémon that doesn''t already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card., As long as this card is attached to a Pokémon, that Pokémon''s type (color) is Colorless. If that Pokémon attacks, discard this card at the end of the turn.","insert into trainer_cards (id,card_rule) values('ecard3-122','Attach Crystal Shard to 1 of your Pokémon that doesn''t already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card., As long as this card is attached to a Pokémon, that Pokémon''s type (color) is Colorless. If that Pokémon attacks, discard this card at the end of the turn.');"
ecard3-123,Desert Shaman,"You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Shuffle your hand into your deck and draw up to 4 cards. Your opponent does the same.","insert into trainer_cards (id,card_rule) values('ecard3-123','You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Shuffle your hand into your deck and draw up to 4 cards. Your opponent does the same.');"
ecard3-124,Fast Ball,"Reveal cards from your deck until you reveal an Evolution card. Show that card to your opponent and put it into your hand. Shuffle the other revealed cards into your deck. (If you don''t reveal an Evolution card, shuffle all the revealed cards back into your deck.)","insert into trainer_cards (id,card_rule) values('ecard3-124','Reveal cards from your deck until you reveal an Evolution card. Show that card to your opponent and put it into your hand. Shuffle the other revealed cards into your deck. (If you don''t reveal an Evolution card, shuffle all the revealed cards back into your deck.)');"
ecard3-125,Fisherman,"You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Choose 4 basic Energy cards from your discard pile (if there are fewer basic Energy cards than choose, take all of them), show them to your opponent, and put them into your hand.","insert into trainer_cards (id,card_rule) values('ecard3-125','You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Choose 4 basic Energy cards from your discard pile (if there are fewer basic Energy cards than choose, take all of them), show them to your opponent, and put them into your hand.');"
ecard3-126,Friend Ball,"Choose 1 of your opponent''s Pokémon. Search your deck for a Baby Pokémon, Basic Pokémon, or Evolution card of the same type (color), show it to your opponent, and put it into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ecard3-126','Choose 1 of your opponent''s Pokémon. Search your deck for a Baby Pokémon, Basic Pokémon, or Evolution card of the same type (color), show it to your opponent, and put it into your hand. Shuffle your deck afterward.');"
ecard3-127,Hyper Potion,"Choose 1 of your Pokémon. Discard 1 or 2 basic Energy cards attached to that Pokémon. If you discarded 1 Energy card, remove up to 3 damage counters from that Pokémon. If you discarded 2 Energy cards, remove up to 5 damage counters from that Pokémon.","insert into trainer_cards (id,card_rule) values('ecard3-127','Choose 1 of your Pokémon. Discard 1 or 2 basic Energy cards attached to that Pokémon. If you discarded 1 Energy card, remove up to 3 damage counters from that Pokémon. If you discarded 2 Energy cards, remove up to 5 damage counters from that Pokémon.');"
ecard3-128,Lure Ball,"Flip 3 coins. For each heads, choose an Evolution card from your discard pile, show it to your opponent, and put it into your hand.","insert into trainer_cards (id,card_rule) values('ecard3-128','Flip 3 coins. For each heads, choose an Evolution card from your discard pile, show it to your opponent, and put it into your hand.');"
ecard3-129,Miracle Sphere α,"Attach this card to 1 of your Evolved Fire, Lightning, or Fighting Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Miracle Plate α.","insert into trainer_cards (id,card_rule) values('ecard3-129','Attach this card to 1 of your Evolved Fire, Lightning, or Fighting Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Miracle Plate α.');"
ecard3-130,Miracle Sphere β,"Attach this card to 1 of your Evolved Fire, Water, or Psychic Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Miracle Sphere β.","insert into trainer_cards (id,card_rule) values('ecard3-130','Attach this card to 1 of your Evolved Fire, Water, or Psychic Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Miracle Sphere β.');"
ecard3-131,Miracle Sphere γ,"Attach this card to 1 of your Evolved Grass, Water, or Lightning Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Miracle Sphere γ.","insert into trainer_cards (id,card_rule) values('ecard3-131','Attach this card to 1 of your Evolved Grass, Water, or Lightning Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Miracle Sphere γ.');"
ecard3-132,Mirage Stadium,"This card stays in play when you play it. Discard this card if another Stadium card comes into play., Whenever a player tries to retreat a Pokémon during his or her turn, that player flips a coin. If heads, that player retreats that Pokémon (and discards Energy normally). If tails, that Pokémon can''t retreat this turn (the player doesn''t discard any Energy).","insert into trainer_cards (id,card_rule) values('ecard3-132','This card stays in play when you play it. Discard this card if another Stadium card comes into play., Whenever a player tries to retreat a Pokémon during his or her turn, that player flips a coin. If heads, that player retreats that Pokémon (and discards Energy normally). If tails, that Pokémon can''t retreat this turn (the player doesn''t discard any Energy).');"
ecard3-133,Mystery Plate α,"Attach this card to 1 of your Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Mystery Plate α.","insert into trainer_cards (id,card_rule) values('ecard3-133','Attach this card to 1 of your Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Mystery Plate α.');"
ecard3-134,Mystery Plate β,"Attach this card to 1 of your Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Mystery Plate β.","insert into trainer_cards (id,card_rule) values('ecard3-134','Attach this card to 1 of your Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Mystery Plate β.');"
ecard3-135,Mystery Plate γ,"Attach this card to 1 of your Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Mystery Plate γ.","insert into trainer_cards (id,card_rule) values('ecard3-135','Attach this card to 1 of your Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Mystery Plate γ.');"
ecard3-136,Mystery Plate δ,"Attach this card to 1 of your Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Mystery Plate δ.","insert into trainer_cards (id,card_rule) values('ecard3-136','Attach this card to 1 of your Pokémon in play. That Pokémon may use this card''s attack instead of its own. At the end of your turn, discard Mystery Plate δ.');"
ecard3-137,Mystery Zone,"This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn (before he or she attacks), if that player has an Evolution card in his or her hand, he or she may search his or her deck for a basic Energy card, show it to his or her opponent, and put it into his or her hand. Then that player chooses an Evolution card from his or her hand, shows it to his or her opponent, and puts it into his or her deck. That player shuffles his or her deck afterward.","insert into trainer_cards (id,card_rule) values('ecard3-137','This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn (before he or she attacks), if that player has an Evolution card in his or her hand, he or she may search his or her deck for a basic Energy card, show it to his or her opponent, and put it into his or her hand. Then that player chooses an Evolution card from his or her hand, shows it to his or her opponent, and puts it into his or her deck. That player shuffles his or her deck afterward.');"
ecard3-138,Oracle,"You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Choose 2 cards from your deck and shuffle the rest of your deck. Put the chosen cards on top of your deck in any order.","insert into trainer_cards (id,card_rule) values('ecard3-138','You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Choose 2 cards from your deck and shuffle the rest of your deck. Put the chosen cards on top of your deck in any order.');"
ecard3-139,Star Piece,"Attach Star Piece to 1 of your Pokémon that doesn''t already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card., At any time between turns, if the Pokémon this card is attached to is Benched and has 2 or more damage counters on it, search your deck for an Evolution card that Pokémon evolves into and put it on top of that Pokémon. (This counts as evolving that Pokémon.) Shuffle your deck afterward. Then, discard Star Piece.","insert into trainer_cards (id,card_rule) values('ecard3-139','Attach Star Piece to 1 of your Pokémon that doesn''t already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card., At any time between turns, if the Pokémon this card is attached to is Benched and has 2 or more damage counters on it, search your deck for an Evolution card that Pokémon evolves into and put it on top of that Pokémon. (This counts as evolving that Pokémon.) Shuffle your deck afterward. Then, discard Star Piece.');"
ecard3-140,Underground Expedition,"You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Look at the bottom 4 cards of your deck. Put 2 of those cards into your hand, and then return the remaining cards to the bottom of your deck in any order.","insert into trainer_cards (id,card_rule) values('ecard3-140','You can play only 1 Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Look at the bottom 4 cards of your deck. Put 2 of those cards into your hand, and then return the remaining cards to the bottom of your deck in any order.');"
ecard3-141,Underground Lake,"This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn, that player may put an Omanyte or a Kabuto card from his or her discard pile onto his or her Bench. (Cards put on the Bench this way are considered Basic Pokémon.)","insert into trainer_cards (id,card_rule) values('ecard3-141','This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn, that player may put an Omanyte or a Kabuto card from his or her discard pile onto his or her Bench. (Cards put on the Bench this way are considered Basic Pokémon.)');"
ex1-80,Energy Removal 2,"Flip a coin. If heads, choose 1 Energy card attached to 1 of your opponent''s Pokémon and discard it.","insert into trainer_cards (id,card_rule) values('ex1-80','Flip a coin. If heads, choose 1 Energy card attached to 1 of your opponent''s Pokémon and discard it.');"
ex1-81,Energy Restore,"Flip 3 coins. For each heads, put a Basic Energy card from your discard pile into your hand. If you don''t have that many basic Energy cards in your discard pile, put all of them into your hand.","insert into trainer_cards (id,card_rule) values('ex1-81','Flip 3 coins. For each heads, put a Basic Energy card from your discard pile into your hand. If you don''t have that many basic Energy cards in your discard pile, put all of them into your hand.');"
ex1-82,Energy Switch,Move a basic Energy card attached to 1 of your Pokémon to another of your Pokémon.,"insert into trainer_cards (id,card_rule) values('ex1-82','Move a basic Energy card attached to 1 of your Pokémon to another of your Pokémon.');"
ex1-83,Lady Outing,"You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for up to 3 different types of basic Energy cards, show them to your opponent, and put them into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ex1-83','You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for up to 3 different types of basic Energy cards, show them to your opponent, and put them into your hand. Shuffle your deck afterward.');"
ex1-84,Lum Berry,"Attach Lum Berry to 1 of your Pokémon that doesn''t already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card., At any time between turns, if the Pokémon this card is attached to is affected by any Special Conditions, remove all of them. Then discard Lum Berry.","insert into trainer_cards (id,card_rule) values('ex1-84','Attach Lum Berry to 1 of your Pokémon that doesn''t already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card., At any time between turns, if the Pokémon this card is attached to is affected by any Special Conditions, remove all of them. Then discard Lum Berry.');"
ex1-85,Oran Berry,"Attach Oran Berry to 1 of your Pokémon that doesn''t already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card., At any time between turns, if the Pokémon this card is attached to has at least 2 damage counters on it, remove 2 damage counters from it. Then discard Oran Berry.","insert into trainer_cards (id,card_rule) values('ex1-85','Attach Oran Berry to 1 of your Pokémon that doesn''t already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card., At any time between turns, if the Pokémon this card is attached to has at least 2 damage counters on it, remove 2 damage counters from it. Then discard Oran Berry.');"
ex1-86,Poké Ball,"Flip a coin. If heads, search your deck for a Basic Pokémon or Evolution card, show it to your opponent and put it into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ex1-86','Flip a coin. If heads, search your deck for a Basic Pokémon or Evolution card, show it to your opponent and put it into your hand. Shuffle your deck afterward.');"
ex1-87,Pokémon Reversal,"Flip a coin. If heads, your opponent switches 1 of his or her Active Pokémon with 1 of his or her Benched Pokémon.","insert into trainer_cards (id,card_rule) values('ex1-87','Flip a coin. If heads, your opponent switches 1 of his or her Active Pokémon with 1 of his or her Benched Pokémon.');"
ex1-88,PokéNav,"Look at the top 3 cards of your deck, and choose a Basic Pokémon, Evolution card, or Energy card. Show it to your opponent and put it into your hand. Put the 2 other cards back on top of your deck in any order.","insert into trainer_cards (id,card_rule) values('ex1-88','Look at the top 3 cards of your deck, and choose a Basic Pokémon, Evolution card, or Energy card. Show it to your opponent and put it into your hand. Put the 2 other cards back on top of your deck in any order.');"
ex1-89,Professor Birch,"You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Draw cards from your deck until you have 6 cards in your hand.","insert into trainer_cards (id,card_rule) values('ex1-89','You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Draw cards from your deck until you have 6 cards in your hand.');"
ex1-90,Energy Search,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ex1-90','Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.');"
ex1-91,Potion,Remove 2 damage counters from 1 of your Pokémon (remove 1 damage counter if that Pokémon has only 1).,"insert into trainer_cards (id,card_rule) values('ex1-91','Remove 2 damage counters from 1 of your Pokémon (remove 1 damage counter if that Pokémon has only 1).');"
ex1-92,Switch,Switch 1 of your Active Pokémon with 1 of your Benched Pokémon.,"insert into trainer_cards (id,card_rule) values('ex1-92','Switch 1 of your Active Pokémon with 1 of your Benched Pokémon.');"
ex10-80,Curse Powder,"Attach Curse Powder to 1 of your Evolved Pokémon (excluding Pokémon-ex) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Curse Powder is attached to is a Basic Pokémon or Pokémon-ex, discard Curse Powder., If the Pokémon that Curse Powder is attached to is your Active Pokémon and is Knocked Out by damage from an opponent''s attack, put 3 damage counters on the Attacking Pokémon.","insert into trainer_cards (id,card_rule) values('ex10-80','Attach Curse Powder to 1 of your Evolved Pokémon (excluding Pokémon-ex) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Curse Powder is attached to is a Basic Pokémon or Pokémon-ex, discard Curse Powder., If the Pokémon that Curse Powder is attached to is your Active Pokémon and is Knocked Out by damage from an opponent''s attack, put 3 damage counters on the Attacking Pokémon.');"
ex10-81,Energy Recycle System,"Search your discard pile for basic Energy cards. You may either show 1 basic Energy card to your opponent and put it into your hand, or show 3 basic Energy cards to your opponent and shuffle them into your deck.","insert into trainer_cards (id,card_rule) values('ex10-81','Search your discard pile for basic Energy cards. You may either show 1 basic Energy card to your opponent and put it into your hand, or show 3 basic Energy cards to your opponent and shuffle them into your deck.');"
ex10-82,Energy Removal 2,"Flip a coin. If heads, choose 1 Energy card attached to 1 of your opponent''s Pokémon and discard it.","insert into trainer_cards (id,card_rule) values('ex10-82','Flip a coin. If heads, choose 1 Energy card attached to 1 of your opponent''s Pokémon and discard it.');"
ex10-83,Energy Root,"Attach Energy Root to 1 of your Pokémon (excluding Pokémon-ex and Pokémon that has Dark or an owner in its name) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Energy Root is attached to is Pokémon-ex or has Dark or an owner in its name, discard Energy Root., As long as Energy Root is attached to a Pokémon, that Pokémon gets +20 HP and can''t use any Poké-Powers or Poké-Bodies.","insert into trainer_cards (id,card_rule) values('ex10-83','Attach Energy Root to 1 of your Pokémon (excluding Pokémon-ex and Pokémon that has Dark or an owner in its name) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Energy Root is attached to is Pokémon-ex or has Dark or an owner in its name, discard Energy Root., As long as Energy Root is attached to a Pokémon, that Pokémon gets +20 HP and can''t use any Poké-Powers or Poké-Bodies.');"
ex10-84,Energy Switch,Move a basic Energy card attached to 1 of your Pokémon to another of your Pokémon.,"insert into trainer_cards (id,card_rule) values('ex10-84','Move a basic Energy card attached to 1 of your Pokémon to another of your Pokémon.');"
ex10-85,Fluffy Berry,"Attach Fluffy Berry to 1 of your Pokémon (excluding Pokémon-ex and Pokémon that has Dark or an owner in its name) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Fluffy Berry is attached to is Pokémon-ex or has Dark or an owner in its name, discard Fluffy Berry., As long as Fluffy Berry is attached to a Pokémon, that Pokémon''s Retreat Cost is 0.","insert into trainer_cards (id,card_rule) values('ex10-85','Attach Fluffy Berry to 1 of your Pokémon (excluding Pokémon-ex and Pokémon that has Dark or an owner in its name) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Fluffy Berry is attached to is Pokémon-ex or has Dark or an owner in its name, discard Fluffy Berry., As long as Fluffy Berry is attached to a Pokémon, that Pokémon''s Retreat Cost is 0.');"
ex10-86,Mary''s Request,"You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Draw a card. If you don''t have any Stage 2 Evolved Pokémon in play, draw 2 more cards.","insert into trainer_cards (id,card_rule) values('ex10-86','You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Draw a card. If you don''t have any Stage 2 Evolved Pokémon in play, draw 2 more cards.');"
ex10-87,Poké Ball,"Flip a coin. If heads, search your deck for a Basic Pokémon or Evolution card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ex10-87','Flip a coin. If heads, search your deck for a Basic Pokémon or Evolution card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.');"
ex10-88,Pokémon Reversal,"Flip a coin. If heads, choose 1 of your opponent''s Benched Pokémon and switch it with 1 of the Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.","insert into trainer_cards (id,card_rule) values('ex10-88','Flip a coin. If heads, choose 1 of your opponent''s Benched Pokémon and switch it with 1 of the Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.');"
ex10-89,Professor Elm''s Training Method,"You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for an Evolution card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ex10-89','You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Search your deck for an Evolution card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.');"
ex10-90,Protective Orb,"Attach Protective Orb to 1 of your Evolved Pokémon (excluding Pokémon-ex) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Protective Orb is attached to is a Basic Pokémon or Pokémon-ex, discard Protective Orb., As long as Protective Orb is attached to a Pokémon, that Pokémon has no Weakness.","insert into trainer_cards (id,card_rule) values('ex10-90','Attach Protective Orb to 1 of your Evolved Pokémon (excluding Pokémon-ex) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Protective Orb is attached to is a Basic Pokémon or Pokémon-ex, discard Protective Orb., As long as Protective Orb is attached to a Pokémon, that Pokémon has no Weakness.');"
ex10-91,Sitrus Berry,"Attach Sitrus Berry to 1 of your Pokémon (excluding Pokémon-ex and Pokémon that has Dark or an owner in its name) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Sitrus Berry is attached to is Pokémon-ex or has Dark or an owner in its name, discard Sitrus Berry., At any time between turns, if the Pokémon this card is attached to has at least 3 damage counters on it, remove 3 damage counters from it. Then, discard Sitrus Berry.","insert into trainer_cards (id,card_rule) values('ex10-91','Attach Sitrus Berry to 1 of your Pokémon (excluding Pokémon-ex and Pokémon that has Dark or an owner in its name) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Sitrus Berry is attached to is Pokémon-ex or has Dark or an owner in its name, discard Sitrus Berry., At any time between turns, if the Pokémon this card is attached to has at least 3 damage counters on it, remove 3 damage counters from it. Then, discard Sitrus Berry.');"
ex10-92,Solid Rage,"Attach Solid Rage to 1 of your Evolved Pokémon (excluding Pokémon-ex) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Solid Rage is attached to is a Basic Pokémon or Pokémon-ex, discard Solid Rage., If you have more Prize cards left than your opponent, the Pokémon that Solid Rage is attached to does 20 more damage to the Active Pokémon (before applying Weakness and Resistance).","insert into trainer_cards (id,card_rule) values('ex10-92','Attach Solid Rage to 1 of your Evolved Pokémon (excluding Pokémon-ex) that doesn''t already have a Pokémon Tool attached to it. If the Pokémon Solid Rage is attached to is a Basic Pokémon or Pokémon-ex, discard Solid Rage., If you have more Prize cards left than your opponent, the Pokémon that Solid Rage is attached to does 20 more damage to the Active Pokémon (before applying Weakness and Resistance).');"
ex10-93,Warp Point,"Your opponent switches 1 of his or her Defending Pokémon with 1 of his or her Benched Pokémon, if any. You switch 1 of your Active Pokémon with 1 of your Benched Pokémon, if any.","insert into trainer_cards (id,card_rule) values('ex10-93','Your opponent switches 1 of his or her Defending Pokémon with 1 of his or her Benched Pokémon, if any. You switch 1 of your Active Pokémon with 1 of your Benched Pokémon, if any.');"
ex10-94,Energy Search,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ex10-94','Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.');"
ex10-95,Potion,Remove 2 damage counters from 1 of your Pokémon (remove 1 damage counter if that Pokémon has only 1).,"insert into trainer_cards (id,card_rule) values('ex10-95','Remove 2 damage counters from 1 of your Pokémon (remove 1 damage counter if that Pokémon has only 1).');"
ex11-89,Dual Ball,"Flip 2 coins. For each heads, search your deck for a Basic Pokémon card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ex11-89','Flip 2 coins. For each heads, search your deck for a Basic Pokémon card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.');"
ex11-90,Great Ball,Search your deck for a Basic Pokémon (excluding Pokémon-ex) and put it onto your Bench. Shuffle your deck afterward.,"insert into trainer_cards (id,card_rule) values('ex11-90','Search your deck for a Basic Pokémon (excluding Pokémon-ex) and put it onto your Bench. Shuffle your deck afterward.');"
ex11-91,Holon Farmer,"You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Discard a card from your hand. If you can''t discard a card from your hand, you can''t play this card., Search your discard pile for 3 basic Energy cards and any combination of 3 Basic Pokémon or Evolution cards, show them to your opponent, and put them on top of your deck. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ex11-91','You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Discard a card from your hand. If you can''t discard a card from your hand, you can''t play this card., Search your discard pile for 3 basic Energy cards and any combination of 3 Basic Pokémon or Evolution cards, show them to your opponent, and put them on top of your deck. Shuffle your deck afterward.');"
ex11-92,Holon Lass,"You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Discard a card from your hand. If you can''t discard a card from your hand, you can''t play this card., Count the total number of Prize cards left (both yours and your opponent''s). Look at that many cards from the top of your deck, choose as many Energy cards as you like, show them to your opponent, and put them into your hand. Put the other cards back on top of your deck. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('ex11-92','You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card., Discard a card from your hand. If you can''t discard a card from your hand, you can''t play this card., Count the total number of Prize cards left (both yours and your opponent''s). Look at that many cards from the top of your deck, choose as many Energy cards as you like, show them to your opponent, and put them into your hand. Put the other cards back on top of your deck. Shuffle your deck afterward.');"
