id,name,nationalPokedexNumbers,level,hp,type1,type2,evolvesFrom,weaknessColor,weaknessModifier
bw9-71,Pawniard,[624],,60,Darkness,,,Fighting,×2
bw9-72,Pawniard,[624],,50,Darkness,,,Fighting,×2
bw9-73,Bisharp,[625],,100,Darkness,,Pawniard,Fighting,×2
bw9-74,Bisharp,[625],,90,Darkness,,Pawniard,Fighting,×2
bw9-75,Deino,[633],,60,Darkness,,,Fighting,×2
bw9-76,Deino,[633],,60,Darkness,,,Fighting,×2
bw9-77,Zweilous,[634],,90,Darkness,,Deino,Fighting,×2
bw9-78,Hydreigon,[635],,150,Darkness,,Zweilous,Fighting,×2
bw9-79,Steelix,[208],,150,Metal,,Onix,Fire,×2
bw9-80,Mawile,[303],,70,Metal,,,Fire,×2
bw9-81,Dratini,[147],,50,Dragon,,,Dragon,×2
bw9-82,Dragonair,[148],,70,Dragon,,Dratini,Dragon,×2
bw9-83,Dragonite,[149],,150,Dragon,,Dragonair,Dragon,×2
bw9-84,Kingdra,[230],,140,Dragon,,Seadra,Dragon,×2
bw9-85,Latias-EX,[380],,160,Dragon,,,Dragon,×2
bw9-86,Latios-EX,[381],,170,Dragon,,,Dragon,×2
bw9-87,Rattata,[19],,40,Colorless,,,Fighting,×2
bw9-88,Raticate,[20],,70,Colorless,,Rattata,Fighting,×2
bw9-89,Eevee,[133],,60,Colorless,,,Fighting,×2
bw9-90,Eevee,[133],,60,Colorless,,,Fighting,×2
bw9-91,Hoothoot,[163],,60,Colorless,,,Lightning,×2
bw9-92,Noctowl,[164],,90,Colorless,,Hoothoot,Lightning,×2
bw9-93,Miltank,[241],,100,Colorless,,,Fighting,×2
bw9-94,Kecleon,[352],,70,Colorless,,,Fighting,×2
bw9-95,Starly,[396],,60,Colorless,,,Lightning,×2
bw9-96,Staravia,[397],,80,Colorless,,Starly,Lightning,×2
bw9-97,Staraptor,[398],,130,Colorless,,Staravia,Lightning,×2
bw9-98,Tornadus-EX,[641],,180,Colorless,,,Lightning,×2
bw9-109,Heatran-EX,[485],,180,Fire,,,Water,×2
bw9-110,Thundurus-EX,[642],,170,Lightning,,,Fighting,×2
bw9-111,Deoxys-EX,[386],,170,Psychic,,,Psychic,×2
bw9-112,Latias-EX,[380],,160,Dragon,,,Dragon,×2
bw9-113,Latios-EX,[381],,170,Dragon,,,Dragon,×2
bw9-114,Tornadus-EX,[641],,180,Colorless,,,Lightning,×2
bw9-117,Empoleon,[395],,140,Water,,Prinplup,Lightning,×2
bw9-118,Sigilyph,[561],,90,Psychic,,,Psychic,×2
bw9-119,Garbodor,[569],,100,Psychic,,Trubbish,Psychic,×2
bw9-120,Garchomp,[445],,140,Dragon,,Gabite,Dragon,×2
bwp-BW01,Snivy,[495],,60,Grass,,,Fire,×2
bwp-BW02,Tepig,[498],,70,Fire,,,Water,×2
bwp-BW03,Oshawott,[501],,60,Water,,,Lightning,×2
bwp-BW004,Reshiram,[643],,130,Fire,,,Water,×2
bwp-BW005,Zekrom,[644],,130,Lightning,,,Fighting,×2
bwp-BW06,Snivy,[495],,60,Grass,,,Fire,×2
bwp-BW07,Tepig,[498],,60,Fire,,,Water,×2
bwp-BW08,Oshawott,[501],,60,Water,,,Lightning,×2
bwp-BW09,Zoroark,[571],,100,Darkness,,Zorua,Fighting,×2
bwp-BW10,Axew,[610],,50,Colorless,,,,
bwp-BW11,Pansage,[511],,60,Grass,,,Fire,×2
bwp-BW12,Zorua,[570],,60,Darkness,,,Fighting,×2
bwp-BW13,Minccino,[572],,50,Colorless,,,Fighting,×2
bwp-BW14,Pansage,[511],,60,Grass,,,Fire,×2
bwp-BW15,Pidove,[519],,50,Colorless,,,Lightning,×2
bwp-BW16,Axew,[610],,50,Colorless,,,,
bwp-BW17,Ducklett,[580],,60,Water,,,Lightning,×2
bwp-BW18,Darumaka,[554],,60,Fire,,,Water,×2
bwp-BW19,Zoroark,[571],,100,Darkness,,Zorua,Fighting,×2
bwp-BW20,Serperior,[497],,130,Grass,,Servine,Fire,×2
bwp-BW21,Emboar,[500],,150,Fire,,Pignite,Water,×2
bwp-BW22,Samurott,[503],,140,Water,,Dewott,Lightning,×2
bwp-BW23,Reshiram,[643],,130,Fire,,,Water,×2
bwp-BW24,Zekrom,[644],,130,Lightning,,,Fighting,×2
bwp-BW25,Scraggy,[559],,50,Darkness,,,Fighting,×2
bwp-BW26,Axew,[610],,50,Colorless,,,,
bwp-BW27,Litwick,[607],,50,Psychic,,,Darkness,×2
bwp-BW32,Victini,[494],,60,Fire,,,Water,×2
bwp-BW33,Riolu,[447],,60,Fighting,,,Psychic,×2
bwp-BW34,Luxio,[404],,80,Lightning,,Shinx,Fighting,×2
bwp-BW35,Meowth,[52],,60,Colorless,,,Fighting,×2
bwp-BW36,Reshiram-EX,[643],,180,Fire,,,Water,×2
bwp-BW37,Kyurem-EX,[646],,180,Water,,,Metal,×2
bwp-BW38,Zekrom-EX,[644],,180,Lightning,,,Fighting,×2
bwp-BW40,Volcarona,[637],,110,Fire,,Larvesta,Water,×2
bwp-BW41,Thundurus,[642],,110,Lightning,,,Fighting,×2
bwp-BW42,Tornadus,[641],,110,Colorless,,,Lightning,×2
bwp-BW43,Landorus,[645],,110,Fighting,,,Water,×2
bwp-BW44,Kyurem,[646],,130,Water,,,Metal,×2
bwp-BW45,Mewtwo-EX,[150],,170,Psychic,,,Psychic,×2
bwp-BW46,Darkrai-EX,[491],,180,Darkness,,,Fighting,×2
bwp-BW47,Rayquaza-EX,[384],,170,Dragon,,,Dragon,×2
bwp-BW48,Altaria,[334],,70,Dragon,,Swablu,Dragon,×2
bwp-BW49,Lilligant,[549],,90,Grass,,Petilil,Fire,×2
bwp-BW51,Crobat,[169],,130,Psychic,,Golbat,Lightning,×2
bwp-BW52,Lillipup,[506],,50,Colorless,,,Fighting,×2
bwp-BW53,Flygon,[330],,140,Dragon,,Vibrava,Dragon,×2
bwp-BW54,Pikachu,[25],,60,Lightning,,,Fighting,×2
bwp-BW55,Elgyem,[605],,60,Psychic,,,Psychic,×2
bwp-BW56,Empoleon,[395],,140,Water,,Prinplup,Lightning,×2
bwp-BW57,Haxorus,[612],,140,Dragon,,Fraxure,Dragon,×2
bwp-BW58,Black Kyurem,[646],,130,Dragon,,,Dragon,×2
bwp-BW59,White Kyurem,[646],,130,Dragon,,,Dragon,×2
bwp-BW60,Keldeo,[647],,90,Water,,,Grass,×2
bwp-BW61,Keldeo-EX,[647],,170,Water,,,Grass,×2
bwp-BW62,Black Kyurem-EX,[646],,180,Dragon,,,Dragon,×2
bwp-BW63,White Kyurem-EX,[646],,180,Dragon,,,Dragon,×2
bwp-BW64,Drifblim,[426],,100,Psychic,,Drifloon,Darkness,×2
bwp-BW65,Jigglypuff,[39],,60,Colorless,,,Fighting,×2
bwp-BW66,Ninetales,[38],,90,Fire,,Vulpix,Water,×2
bwp-BW67,Ampharos,[181],,140,Lightning,,Flaaffy,Fighting,×2
bwp-BW68,Meloetta,[648],,80,Psychic,,,Psychic,×2
bwp-BW69,Meloetta,[648],,80,Fighting,,,Psychic,×2
bwp-BW70,Virizion,[640],,100,Grass,,,Fire,×2
bwp-BW71,Terrakion,[639],,130,Fighting,,,Grass,×2
bwp-BW72,Cobalion,[638],,120,Metal,,,Fire,×2
bwp-BW73,Darkrai,[491],,110,Darkness,,,Fighting,×2
bwp-BW74,Giratina,[487],,130,Psychic,,,Darkness,×2
bwp-BW75,Metagross,[376],,140,Psychic,,Metang,Psychic,×2
bwp-BW76,Electrode,[101],,100,Lightning,,Voltorb,Fighting,×2
bwp-BW77,Pikachu,[25],,60,Lightning,,,Fighting,×2
bwp-BW78,Raichu,[26],,100,Lightning,,Pikachu,Fighting,×2
bwp-BW79,Landorus,[645],,110,Fighting,,,Water,×2
bwp-BW80,Druddigon,[621],,100,Dragon,,,Dragon,×2
bwp-BW81,Thundurus-EX,[642],,170,Lightning,,,Fighting,×2
bwp-BW82,Deoxys-EX,[386],,170,Psychic,,,Psychic,×2
bwp-BW83,Lugia-EX,[249],,180,Colorless,,,Lightning,×2
bwp-BW84,Porygon-Z,[474],,130,Colorless,,Porygon2,Fighting,×2
bwp-BW85,Lucario,[448],,100,Fighting,,Riolu,Psychic,×2
bwp-BW86,Genesect,[649],,100,Grass,,,Fire,×2
bwp-BW87,Leafeon,[470],,90,Grass,,Eevee,Fire,×2
bwp-BW88,Flareon,[136],,90,Fire,,Eevee,Water,×2
bwp-BW89,Vaporeon,[134],,110,Water,,Eevee,Lightning,×2
bwp-BW90,Glaceon,[471],,90,Water,,Eevee,Metal,×2
bwp-BW91,Jolteon,[135],,90,Lightning,,Eevee,Fighting,×2
bwp-BW92,Espeon,[196],,90,Psychic,,Eevee,Psychic,×2
bwp-BW93,Umbreon,[197],,100,Darkness,,Eevee,Fighting,×2
bwp-BW94,Eevee,[133],,60,Colorless,,,Fighting,×2
bwp-BW96,Tornadus-EX,[641],,170,Colorless,,,Lightning,×2
bwp-BW97,Eevee,[133],,60,Colorless,,,Fighting,×2
bwp-BW98,Mew,[151],,60,Psychic,,,Psychic,×2
bwp-BW99,Genesect,[649],,110,Grass,,,Fire,×2
bwp-BW101,Genesect,[649],,110,Grass,,,Fire,×2
cel25-1,Ho-Oh,[250],,130,Fire,,,Lightning,×2
cel25-2,Reshiram,[643],,130,Fire,,,Water,×2
cel25-3,Kyogre,[382],,130,Water,,,Lightning,×2
cel25-4,Palkia,[484],,130,Water,,,Lightning,×2
cel25-5,Pikachu,[25],,60,Lightning,,,Fighting,×2
cel25-6,Flying Pikachu V,[25],,190,Lightning,,,Lightning,×2
cel25-7,Flying Pikachu VMAX,[25],,310,Lightning,,Flying Pikachu V,Lightning,×2
cel25-8,Surfing Pikachu V,[25],,200,Lightning,,,Fighting,×2
cel25-9,Surfing Pikachu VMAX,[25],,310,Lightning,,Surfing Pikachu V,Fighting,×2
cel25-10,Zekrom,[644],,130,Lightning,,,Fighting,×2
cel25-11,Mew,[151],,60,Psychic,,,Darkness,×2
cel25-12,Xerneas,[716],,120,Psychic,,,Metal,×2
cel25-13,Cosmog,[789],,60,Psychic,,,Darkness,×2
cel25-14,Cosmoem,[790],,90,Psychic,,Cosmog,Darkness,×2
cel25-15,Lunala,[792],,160,Psychic,,Cosmoem,Darkness,×2
cel25-16,Zacian V,[888],,220,Psychic,,,Metal,×2
cel25-17,Groudon,[383],,130,Fighting,,,Grass,×2
cel25-18,Zamazenta V,[889],,220,Fighting,,,Psychic,×2
cel25-19,Yveltal,[717],,120,Darkness,,,Lightning,×2
cel25-20,Dialga,[483],,130,Metal,,,Fire,×2
cel25-21,Solgaleo,[791],,170,Metal,,Cosmoem,Fire,×2
cel25-22,Lugia,[249],,130,Colorless,,,Lightning,×2
cel25-25,Mew,[151],,60,Psychic,,,Darkness,×2
cel25c-2_A,Blastoise,[9],52,100,Water,,Wartortle,Lightning,×2
cel25c-4_A,Charizard,[6],76,120,Fire,,Charmeleon,Water,×2
cel25c-15_A1,Venusaur,[3],67,100,Grass,,Ivysaur,Fire,×2
cel25c-15_A3,Rocket's Zapdos,[145],34,70,Lightning,,,,
cel25c-15_A4,Claydol,[344],45,80,Fighting,,Baltoy,Grass,+20
cel25c-8_A,Dark Gyarados,[130],31,70,Water,,Magikarp,Grass,×2
cel25c-24_A,_____'s Pikachu,[25],17,50,Lightning,,,Fighting,×2
cel25c-20_A,Cleffa,[173],6,30,Colorless,,,,
cel25c-66_A,Shining Magikarp,[129],45,30,Water,,,Lightning,×2
cel25c-9_A,Team Magma's Groudon,[383],,100,Fighting,Darkness,,Grass,×2
cel25c-88_A,Mew ex,[151],,90,Psychic,,,Psychic,×2
cel25c-93_A,Gardevoir ex δ,[282],,150,Fire,,Kirlia,Psychic,×2
cel25c-17_A,Umbreon ★,[197],,70,Darkness,,,Fighting,×2
cel25c-109_A,Luxray GL LV.X,[405],X,110,Lightning,,Luxray GL,Fighting,×2
cel25c-145_A,Garchomp C LV.X,[445],X,110,Colorless,,Garchomp C,Colorless,×2
cel25c-107_A,Donphan,[232],,120,Fighting,,Phanpy,Water,×2
cel25c-113_A,Reshiram,[643],,130,Fire,,,Water,×2
cel25c-114_A,Zekrom,[644],,130,Lightning,,,Fighting,×2
cel25c-54_A,Mewtwo-EX,[150],,170,Psychic,,,Psychic,×2
cel25c-97_A,Xerneas-EX,[716],,170,Fairy,,,Metal,×2
cel25c-76_A,M Rayquaza-EX,[384],,220,Colorless,,Rayquaza-EX,Lightning,×2
cel25c-60_A,Tapu Lele-GX,[786],,170,Psychic,,,,
col1-1,Clefable,[36],,80,Colorless,,Clefairy,Fighting,×2
col1-2,Deoxys,[386],,80,Psychic,,,Psychic,×2
col1-3,Dialga,[483],,100,Metal,,,Fire,×2
col1-4,Espeon,[196],,90,Psychic,,Eevee,Psychic,×2
col1-5,Forretress,[205],,90,Metal,,Pineco,Fire,×2
col1-6,Groudon,[383],,100,Fighting,,,Grass,×2
col1-7,Gyarados,[130],,130,Water,,Magikarp,Lightning,×2
col1-8,Hitmontop,[237],,60,Fighting,,,Psychic,×2
col1-9,Ho-Oh,[250],,100,Fire,,,Water,×2
col1-10,Houndoom,[229],,90,Darkness,,Houndour,Fighting,×2
col1-11,Jirachi,[385],,60,Psychic,,,Psychic,×2
col1-12,Kyogre,[382],,100,Water,,,Lightning,×2
col1-13,Leafeon,[470],,90,Grass,,Eevee,Fire,×2
col1-14,Lucario,[448],,90,Fighting,,Riolu,Psychic,×2
col1-15,Lugia,[249],,100,Water,,,Lightning,×2
col1-16,Magmortar,[467],,110,Fire,,Magmar,Water,×2
col1-17,Ninetales,[38],,90,Fire,,Vulpix,Water,×2
col1-18,Pachirisu,[417],,60,Lightning,,,Fighting,×2
col1-19,Palkia,[484],,100,Water,,,Lightning,×2
col1-20,Rayquaza,[384],,100,Colorless,,,Colorless,×2
col1-21,Smeargle,[235],,70,Colorless,,,Fighting,×2
col1-22,Umbreon,[197],,90,Darkness,,Eevee,Fighting,×2
col1-23,Ampharos,[181],,120,Lightning,,Flaaffy,Fighting,×2
col1-24,Cleffa,[173],,30,Colorless,,,,
col1-25,Feraligatr,[160],,130,Water,,Croconaw,Grass,×2
col1-26,Granbull,[210],,90,Colorless,,Snubbull,Fighting,×2
col1-27,Meganium,[154],,130,Grass,,Bayleef,Fire,×2
col1-28,Mismagius,[429],,80,Psychic,,Misdreavus,Darkness,×2
col1-29,Mr. Mime,[122],,70,Psychic,,,Psychic,×2
col1-30,Pidgeot,[18],,120,Colorless,,Pidgeotto,Lightning,×2
col1-31,Skarmory,[227],,80,Metal,,,Fire,×2
col1-32,Slowking,[199],,80,Psychic,,Slowpoke,Psychic,×2
col1-33,Snorlax,[143],,100,Colorless,,,Fighting,×2
col1-34,Tangrowth,[465],,110,Grass,,Tangela,Fire,×2
col1-35,Typhlosion,[157],,130,Fire,,Quilava,Water,×2
col1-36,Tyrogue,[236],,30,Fighting,,,,
col1-37,Ursaring,[217],,100,Colorless,,Teddiursa,Fighting,×2
col1-38,Weezing,[110],,90,Psychic,,Koffing,Psychic,×2
col1-39,Zangoose,[335],,80,Colorless,,,Fighting,×2
col1-40,Bayleef,[153],,90,Grass,,Chikorita,Fire,×2
col1-41,Croconaw,[159],,80,Water,,Totodile,Grass,×2
col1-42,Donphan,[232],,100,Fighting,,Phanpy,Water,×2
col1-43,Flaaffy,[180],,80,Lightning,,Mareep,Fighting,×2
col1-44,Flareon,[136],,90,Fire,,Eevee,Water,×2
col1-45,Jolteon,[135],,80,Lightning,,Eevee,Fighting,×2
col1-46,Magby,[240],,30,Fire,,,,
col1-47,Mime Jr.,[439],,30,Psychic,,,,
col1-48,Pidgeotto,[17],,80,Colorless,,Pidgey,Lightning,×2
col1-49,Quilava,[156],,80,Fire,,Cyndaquil,Water,×2
col1-50,Riolu,[447],,50,Fighting,,,Psychic,×2
col1-51,Seviper,[336],,90,Psychic,,,Psychic,×2
col1-52,Vaporeon,[134],,90,Water,,Eevee,Lightning,×2
col1-53,Chikorita,[152],,50,Grass,,,Fire,×2
col1-54,Clefairy,[35],,50,Colorless,,,Fighting,×2
col1-55,Cyndaquil,[155],,40,Fire,,,Water,×2
col1-56,Eevee,[133],,50,Colorless,,,Fighting,×2
col1-57,Hitmonchan,[107],,70,Fighting,,,Psychic,×2
col1-58,Hitmonlee,[106],,80,Fighting,,,Psychic,×2
col1-59,Houndour,[228],,50,Darkness,,,Fighting,×2
col1-60,Koffing,[109],,50,Psychic,,,Psychic,×2
col1-61,Magikarp,[129],,30,Water,,,Lightning,×2
col1-62,Magmar,[126],,70,Fire,,,Water,×2
col1-63,Mareep,[179],,40,Lightning,,,Fighting,×2
col1-64,Mawile,[303],,60,Metal,,,Fire,×2
col1-65,Misdreavus,[200],,60,Psychic,,,Darkness,×2
col1-66,Phanpy,[231],,60,Fighting,,,Water,×2
col1-67,Pidgey,[16],,50,Colorless,,,Lightning,×2
col1-68,Pineco,[204],,60,Grass,,,Fire,×2
col1-69,Relicanth,[369],,80,Water,,,Grass,×2
col1-70,Slowpoke,[79],,60,Water,,,Lightning,×2
col1-71,Snubbull,[209],,50,Colorless,,,Fighting,×2
col1-72,Tangela,[114],,70,Grass,,,Fire,×2
col1-73,Teddiursa,[216],,50,Colorless,,,Fighting,×2
col1-74,Totodile,[158],,60,Water,,,Lightning,×2
col1-75,Vulpix,[37],,50,Fire,,,Water,×2
col1-SL1,Deoxys,[386],,80,Psychic,,,Psychic,×2
col1-SL2,Dialga,[483],,100,Metal,,,Fire,×2
col1-SL3,Entei,[244],,90,Fire,,,Water,×2
col1-SL4,Groudon,[383],,100,Fighting,,,Grass,×2
col1-SL5,Ho-Oh,[250],,100,Fire,,,Water,×2
col1-SL6,Kyogre,[382],,100,Water,,,Lightning,×2
col1-SL7,Lugia,[249],,100,Water,,,Lightning,×2
col1-SL8,Palkia,[484],,100,Water,,,Lightning,×2
col1-SL9,Raikou,[243],,90,Lightning,,,Fighting,×2
col1-SL10,Rayquaza,[384],,100,Colorless,,,Colorless,×2
col1-SL11,Suicune,[245],,90,Water,,,Lightning,×2
dc1-1,Team Magma's Numel,[322],,70,Fire,,,Water,×2
dc1-2,Team Magma's Camerupt,[323],,110,Fire,,Team Magma's Numel,Water,×2
dc1-3,Team Aqua's Spheal,[363],,60,Water,,,Metal,×2
dc1-4,Team Aqua's Sealeo,[364],,90,Water,,Team Aqua's Spheal,Metal,×2
dc1-5,Team Aqua's Walrein,[365],,140,Water,,Team Aqua's Sealeo,Metal,×2
dc1-6,Team Aqua's Kyogre-EX,[382],,190,Water,,,Grass,×2
dc1-7,Team Aqua's Grimer,[88],,70,Psychic,,,Psychic,×2
dc1-8,Team Aqua's Muk,[89],,110,Psychic,,Team Aqua's Grimer,Psychic,×2
dc1-9,Team Aqua's Seviper,[336],,90,Psychic,,,Psychic,×2
dc1-10,Team Magma's Baltoy,[343],,50,Psychic,,,Psychic,×2
dc1-11,Team Magma's Claydol,[344],,90,Psychic,,Team Magma's Baltoy,Psychic,×2
dc1-12,Team Magma's Aron,[304],,60,Fighting,,,Grass,×2
dc1-13,Team Magma's Lairon,[305],,90,Fighting,,Team Magma's Aron,Grass,×2
dc1-14,Team Magma's Aggron,[306],,140,Fighting,,Team Magma's Lairon,Grass,×2
dc1-15,Team Magma's Groudon-EX,[383],,190,Fighting,,,Grass,×2
dc1-16,Team Aqua's Poochyena,[261],,60,Darkness,,,Fighting,×2
dc1-17,Team Magma's Poochyena,[261],,60,Darkness,,,Fighting,×2
dc1-18,Team Aqua's Mightyena,[262],,100,Darkness,,Team Aqua's Poochyena,Fighting,×2
dc1-19,Team Magma's Mightyena,[262],,100,Darkness,,Team Magma's Poochyena,Fighting,×2
dc1-20,Team Aqua's Carvanha,[318],,50,Darkness,,,Lightning,×2
dc1-21,Team Aqua's Sharpedo,[319],,90,Darkness,,Team Aqua's Carvanha,Lightning,×2
dc1-22,Team Magma's Zangoose,[335],,90,Colorless,,,Fighting,×2
det1-1,Bulbasaur,[1],,60,Grass,,,Fire,×2
det1-2,Ludicolo,[272],,140,Grass,,Lombre,Fire,×2
det1-3,Morelull,[755],,50,Grass,,,Fire,×2
det1-4,Charmander,[4],,60,Fire,,,Water,×2
det1-5,Charizard,[6],,180,Fire,,Charmeleon,Water,×2
det1-6,Arcanine,[59],,120,Fire,,Growlithe,Water,×2
det1-7,Psyduck,[54],,80,Water,,,Grass,×2
det1-8,Magikarp,[129],,30,Water,,,Lightning,×2
det1-9,Greninja,[658],,140,Water,,Frogadier,Grass,×2
det1-10,Detective Pikachu,[25],,90,Lightning,,,Fighting,×2
det1-11,Mr. Mime,[122],,80,Psychic,,,Psychic,×2
det1-12,Mewtwo,[150],,130,Psychic,,,Psychic,×2
det1-13,Machamp,[68],,160,Fighting,,Machoke,Psychic,×2
det1-14,Jigglypuff,[39],,60,Fairy,,,Metal,×2
det1-15,Snubbull,[209],,70,Fairy,,,Metal,×2
det1-16,Lickitung,[108],,100,Colorless,,,Fighting,×2
det1-17,Ditto,[132],,60,Colorless,,,Fighting,×2
det1-18,Slaking,[289],,180,Colorless,,Vigoroth,Fighting,×2
dp1-1,Dialga,[483],68,90,Metal,,,Fire,+20
dp1-2,Dusknoir,[477],42,120,Psychic,,Dusclops,Darkness,+30
dp1-3,Electivire,[466],46,100,Lightning,,Electabuzz,Fighting,+20
dp1-4,Empoleon,[395],42,130,Water,,Prinplup,Lightning,+30
dp1-5,Infernape,[392],40,100,Fire,,Monferno,Water,+30
dp1-6,Lucario,[448],30,90,Fighting,,Riolu,Psychic,+20
dp1-7,Luxray,[405],48,120,Lightning,,Luxio,Fighting,+30
dp1-8,Magnezone,[462],48,120,Metal,,Magneton,Fire,+30
dp1-9,Manaphy,[490],20,70,Water,,,Lightning,+20
dp1-10,Mismagius,[429],37,90,Psychic,,Misdreavus,Darkness,+20
dp1-11,Palkia,[484],67,90,Water,,,Lightning,+20
dp1-12,Rhyperior,[464],61,140,Fighting,,Rhydon,Water,+30
dp1-13,Roserade,[407],33,90,Grass,,Roselia,Fire,+20
dp1-14,Shiftry,[275],48,120,Darkness,,Nuzleaf,Fighting,+30
dp1-15,Skuntank,[435],36,90,Darkness,,Stunky,Fighting,+20
dp1-16,Staraptor,[398],54,100,Colorless,,Staravia,Lightning,+30
dp1-17,Torterra,[389],45,140,Grass,,Grotle,Fire,+30
dp1-18,Azumarill,[184],35,80,Water,,Marill,Lightning,+20
dp1-19,Beautifly,[267],29,100,Grass,,Silcoon,Fire,+20
dp1-20,Bibarel,[400],26,100,Colorless,,Bidoof,Fighting,+20
dp1-21,Carnivine,[455],32,70,Grass,,,Fire,+20
dp1-22,Clefable,[36],37,90,Colorless,,Clefairy,Fighting,+20
dp1-23,Drapion,[452],41,100,Psychic,,Skorupi,Psychic,+20
dp1-24,Drifblim,[426],40,80,Psychic,,Drifloon,Darkness,+20
dp1-25,Dustox,[269],34,120,Grass,,Cascoon,Fire,+30
dp1-26,Floatzel,[419],29,90,Water,,Buizel,Lightning,+20
dp1-27,Gengar,[94],39,110,Psychic,,Haunter,Darkness,+30
dp1-28,Heracross,[214],29,80,Grass,,,Fire,+20
dp1-29,Hippowdon,[450],45,110,Fighting,,Hippopotas,Water,+20
dp1-30,Lopunny,[428],33,80,Colorless,,Buneary,Fighting,+20
dp1-31,Machamp,[68],59,130,Fighting,,Machoke,Psychic,+30
dp1-32,Medicham,[308],42,90,Fighting,,Meditite,Psychic,+20
dp1-33,Munchlax,[446],8,60,Colorless,,,Fighting,+10
dp1-34,Noctowl,[164],40,90,Colorless,,Hoothoot,Lightning,+20
dp1-35,Pachirisu,[417],23,70,Lightning,,,Fighting,+20
dp1-36,Purugly,[432],44,90,Colorless,,Glameow,Fighting,+20
dp1-37,Snorlax,[143],35,100,Colorless,,,Fighting,+20
dp1-38,Steelix,[208],50,110,Metal,,Onix,Fire,+20
dp1-39,Vespiquen,[416],40,100,Grass,,Combee,Fire,+20
dp1-40,Weavile,[461],37,80,Darkness,,Sneasel,Fighting,+20
dp1-41,Wobbuffet,[202],25,80,Psychic,,,Psychic,+20
dp1-42,Wynaut,[360],6,40,Psychic,,,Psychic,+10
dp1-43,Budew,[406],6,40,Grass,,,Fire,+10
dp1-44,Cascoon,[268],8,80,Grass,,Wurmple,Fire,+20
dp1-45,Cherrim,[421],26,80,Grass,,Cherubi,Fire,+20
dp1-46,Drifloon,[425],17,60,Psychic,,,Darkness,+10
dp1-47,Dusclops,[356],38,80,Psychic,,Duskull,Darkness,+20
dp1-48,Elekid,[239],6,40,Lightning,,,Fighting,+10
dp1-49,Grotle,[388],21,90,Grass,,Turtwig,Fire,+20
dp1-50,Haunter,[93],32,70,Psychic,,Gastly,Darkness,+20
dp1-51,Hippopotas,[449],23,60,Fighting,,,Water,+10
dp1-52,Luxio,[404],19,80,Lightning,,Shinx,Fighting,+20
dp1-53,Machoke,[67],39,80,Fighting,,Machop,Psychic,+20
dp1-54,Magneton,[82],35,70,Metal,,Magnemite,Fire,+20
dp1-55,Mantyke,[458],6,40,Water,,,Lightning,+10
dp1-56,Monferno,[391],18,70,Fire,,Chimchar,Water,+20
dp1-57,Nuzleaf,[274],28,80,Darkness,,Seedot,Fighting,+20
dp1-58,Prinplup,[394],20,80,Water,,Piplup,Lightning,+20
dp1-59,Rapidash,[78],34,80,Fire,,Ponyta,Water,+20
dp1-60,Rhydon,[112],43,90,Fighting,,Rhyhorn,Water,+20
dp1-61,Riolu,[447],7,60,Fighting,,,Psychic,+10
dp1-62,Seaking,[119],41,80,Water,,Goldeen,Lightning,+20
dp1-63,Silcoon,[266],8,80,Grass,,Wurmple,Fire,+20
dp1-64,Staravia,[397],21,70,Colorless,,Starly,Lightning,+20
dp1-65,Unown A,[201],15,50,Psychic,,,Psychic,+10
dp1-66,Unown B,[201],12,50,Psychic,,,Psychic,+10
dp1-67,Unown C,[201],18,50,Psychic,,,Psychic,+10
dp1-68,Unown D,[201],14,50,Psychic,,,Psychic,+10
dp1-69,Azurill,[298],6,40,Colorless,,,Fighting,+10
dp1-70,Bidoof,[399],10,50,Colorless,,,Fighting,+10
dp1-71,Bonsly,[438],6,40,Fighting,,,Grass,+10
dp1-72,Buizel,[418],10,60,Water,,,Lightning,+10
dp1-73,Buneary,[427],11,50,Colorless,,,Fighting,+10
dp1-74,Chatot,[441],27,60,Colorless,,,Lightning,+10
dp1-75,Cherubi,[420],7,50,Grass,,,Fire,+10
dp1-76,Chimchar,[390],8,50,Fire,,,Water,+10
dp1-77,Clefairy,[35],18,60,Colorless,,,Fighting,+10
dp1-78,Cleffa,[173],5,40,Colorless,,,Fighting,+10
dp1-79,Combee,[415],8,50,Grass,,,Fire,+10
dp1-80,Duskull,[355],15,50,Psychic,,,Darkness,+10
dp1-81,Electabuzz,[125],29,70,Lightning,,,Fighting,+10
dp1-82,Gastly,[92],12,50,Psychic,,,Darkness,+10
dp1-83,Glameow,[431],12,50,Colorless,,,Fighting,+10
dp1-84,Goldeen,[118],14,60,Water,,,Lightning,+10
dp1-85,Hoothoot,[163],7,50,Colorless,,,Lightning,+10
dp1-86,Machop,[66],20,60,Fighting,,,Psychic,+10
dp1-87,Magnemite,[81],10,50,Metal,,,Fire,+10
dp1-88,Marill,[183],12,60,Water,,,Lightning,+10
dp1-89,Meditite,[307],19,50,Fighting,,,Psychic,+10
dp1-90,Mime Jr.,[439],5,40,Psychic,,,Psychic,+10
dp1-91,Misdreavus,[200],16,60,Psychic,,,Darkness,+10
dp1-92,Onix,[95],22,90,Fighting,,,Grass,+20
dp1-93,Piplup,[393],9,60,Water,,,Lightning,+10
dp1-94,Ponyta,[77],12,60,Fire,,,Water,+10
dp1-95,Rhyhorn,[111],19,60,Fighting,,,Water,+10
